correct_formula,lat_bvm,lat_opt,hf_bvm,hf_opt,bvm_oqmd_lat_err
PdBeI3,3.575,5.260122984,10.30664492,0.357022512,-32.0358096
CdCuF3,4.5459,4.082182744,-1.340505228,-1.61072471,11.35954182
K_V_F3,5.133,4.184670287,-2.122846778,-2.852741768,22.66199361
HgCdBr3,4.621,5.49909388,0.766077418,-0.451630222,-15.96797398
AuHgF3,5.153,4.518140938,-0.530814106,-0.868318304,14.05133374
AgV_F3,5.133,4.091531744,-1.15844447,-2.086166916,25.45423869
TlMnCl3,4.393,5.062265621,-0.609236846,-1.23038257,-13.22067373
HgTiCl3,5.433,4.927645253,-0.990347368,-1.213674538,10.25550179
PdBeCl3,3.575,4.510874538,2.114140136,-0.445493062,-20.74707532
CsTiF3,5.113,4.354450884,-2.492830826,-2.999101456,17.42008662
CoBeCl3,3.575,4.485775074,1.899765164,-0.267358178,-20.30362778
PbNaCl3,5.6259,5.06434407,-1.092286418,-1.274680782,11.08842374
K_BeBr3,3.575,5.020996626,5.09330546,-1.195782738,-28.79899617
K_BeCl3,3.575,4.68323588,1.815530476,-1.559579282,-23.66389198
AgBeI3,3.575,5.352997821,10.91938319,0.106172594,-33.21499243
InBeI3,3.575,5.416081783,11.70878455,-0.281686162,-33.99287265
FeBeI3,3.575,5.305170073,9.234602584,0.50302149,-32.61290494
CsV_F3,5.133,4.322220521,-2.239847648,-2.804567602,18.7584015
K_CdCl3,4.621,5.257111248,-0.979660678,-1.589055048,-12.10001497
PbCuBr3,4.5459,5.115070965,-0.00132841,-0.55164768,-11.12733272
HgCdCl3,4.621,5.207981301,-0.167271392,-0.685088274,-11.27080278
K_MnBr3,4.393,5.358728023,-0.00823703,-1.313371748,-18.02159055
CsCdBr3,4.621,5.609983951,0.283924748,-1.407449852,-17.62899787
InV_Cl3,5.693,4.981768092,-0.79709182,-1.12658556,14.27669644
NaMnCl3,4.393,5.004298637,-1.023413906,-1.48315602,-12.21547077
LiMnBr3,4.393,5.291890366,0.044370428,-1.00262311,-16.98618648
HgCdI3,4.621,5.927127229,2.80058642,-0.131759224,-22.03642977
AuBeI3,3.575,5.269204056,11.29701644,0.322981404,-32.15294071
TlCdCl3,4.621,5.255928509,-0.56671788,-1.190910336,-12.08023488
NaMnBr3,4.393,5.312051748,-0.02488637,-1.157755016,-17.30125743
