id,prediction
NiTlNaMnF6,1.727632
Rb2CsHoBr6,2.8109636
NaPtNiCsF6,0.15323007
NaInRb2Br6,2.9576201
ZnAuMnCuCl6,0.008644582
NiAgCrCsBr6,1.2350976
NaCsNiZnCl6,0.19388056
LiGaCuTlCl6,1.4221781
NaTlMgMnF6,2.3451748
SnHgFeCuCl6,-0.012112855
NaRbAgLuCl6,0.5357172
CaHgSrAuCl6,0.8745079
BeBaAgTlF6,1.710788
CaCuBeNaF6,4.820572
CuAgCrRbBr6,0.38682634
MgRbSrTlBr6,4.4617634
LiSnCaHgCl6,2.1875753
MnTlLiZnF6,4.6070385
RbHgLiMnCl6,0.8516745
Cs2RbLaF6,2.2000895
NaCsBePtBr6,0.023456097
Rb2AgErBr6,0.5035453
AgAuCaMnCl6,2.114582
Mg2LiRbCl6,4.4948006
Cs2CdPbBr6,1.7387725
Na2CoCsCl6,2.4116554
ZnAuBeCsCl6,1.5192685
LiCdNaZnF6,3.8825796
LiTlNiPtBr6,0.0195086
AlCuRbAgCl6,1.9705766
CsAuAgHgF6,0.17024505
NaHgPdAgCl6,0.01972735
Cs2NaAlBr6,2.8247738
Li2BeBaF6,4.8530626
CrHgNaMnF6,1.052491
BeCsCrAuI6,-0.015749216
RbBiLiTlBr6,3.728763
NaCrCuCdBr6,0.15487075
BaAuRbPbCl6,2.1020994
CuDyHgTlF6,0.25213194
LiTlAsRbCl6,4.033718
RbTlRhHgF6,1.3526263
MgCsMnAgF6,1.2397139
Cs2LiTlCl6,2.6821692
CrCsNaSnI6,0.4527868
Cu2RbHgCl6,0.3915484
Rb2TiPtCl6,-0.029368162
FeRbCuBaI6,1.3686609
LiHgCuSnCl6,0.20682669
AgCsYbTlBr6,1.8431461
CuSnLiTlCl6,1.3908124
RbAgSnHgCl6,0.45477116
NaMnRbPtF6,0.06054759
CuRbTiPbF6,0.067379236
NaZnBaHgF6,1.4351587
AlHgLiCsCl6,2.8003368
NiCuLiZnI6,0.32671154
CsHgCuMoF6,0.37423342
MgCsMnRbCl6,3.807363
TiAuNaSnCl6,0.80244327
NaSnSrTlI6,2.6081052
RbTlZnPbF6,3.6608267
LiCsRbYbCl6,3.3531284
LiCrCoTlF6,0.056740522
LiSnMgRbI6,1.8490989
LiTlRbErF6,2.7778234
RbPdBeAuCl6,0.08919084
AgAuMoHgCl6,0.2621485
Na2CaSnF6,4.0860853
RbTlTbHgF6,0.79381
PdTlLiPtBr6,0.05528605
LiTlTmAuCl6,0.028846622
Rb2PmTlCl6,2.7766762
ZnAgNaCrCl6,0.045134425
CaLiCl3,1.5326498
BeCsRbPbF6,3.2018557
LiAgFeEuBr6,0.15086979
FePtRbTlCl6,0.65039396
BeHgNaSrCl6,3.5124934
MgEuCu2F6,-0.046134233
NaSnZnCsI6,1.69879
AgSbRbTlBr6,2.2193522
FeHgNiRbCl6,0.32341993
LiCsCuYbI6,0.2762543
NiCdRbAgBr6,1.7744334
CdCsLiSnBr6,1.4132974
Cu2NaBiF6,4.658703
CuAuSrPtCl6,0.14507484
AgPtCuEuBr6,0.17273718
RbPbBeNaI6,1.2655478
MnTlSnHgF6,0.52271163
Sn2RbCsBr6,1.8680334
CrFeLiHgF6,0.62942046
LiMnCoTlF6,0.11382651
NaSrMnHgF6,0.9445613
NaSnBeHgF6,0.69320494
NaCuMnEuBr6,0.77691996
BeCsAgHgF6,0.12432742
NiAgNaCoF6,0.05234301
NiCuLiBeI6,1.4293103
AgAuNdHgCl6,0.1475724
BeTlZnCsF6,2.9017777
CuSnLiTiF6,0.068588376
LiErCuAgF6,0.14066964
Cs2HgTlCl6,0.62920487
CsHgCuYbCl6,0.08729756
CsEuRbPbI6,2.0679579
NaPrTl2Cl6,3.2424734
Cu2NiPtF6,-0.313599
LiAgHgPbBr6,0.34903562
ZnEuCuAgF6,0.23660165
LiTlMgMnF6,2.5275178
CaBaRbAgF6,1.7710512
BePdRb2Cl6,1.9964056
Cu2NaAlBr6,1.3264244
AgBaLiPdBr6,0.019827485
LiCoTlPbF6,2.0591273
CuCsNaAsF6,4.5311236
CuNbLiCsCl6,1.0345253
CoBaAg2F6,0.5390252
CuHgCsErCl6,0.907657
NaAuCrSrCl6,0.12015176
AgGdHg2F6,0.089607954
CuRbZnPtBr6,0.068109274
AgPtTlPbF6,1.7579224
CuAuCoSrCl6,0.13452446
CaCuBaHgF6,1.3878856
RbSnSrTlI6,2.6661015
ZnTlAgPbBr6,1.3632135
CoAuMnHgCl6,0.13618708
CuPtRbTlCl6,0.7883852
BaAuMnRbCl6,2.0101893
Li2NiZnF6,1.5729022
LiCuTlBiI6,1.4861292
CoAgLiCaF6,4.797451
LiAuRbTmCl6,1.362351
CsHgRbSnCl6,1.4038517
RbCsMnNiBr6,0.13487506
CoRbNaCuCl6,0.11746991
LiTlBeNiCl6,0.94879407
PdTlLiSrCl6,3.2292848
CoHgAgAuCl6,0.23469973
CuCsZnPbBr6,0.37531155
SrCsPdAgCl6,0.0072171697
LiRhRbCsCl6,2.8023467
GaRbCs2F6,3.5938575
ZnAgFeCuBr6,-0.026487947
LiCdNiCuF6,0.03898418
SnCsCaAgBr6,1.9540073
CuBaLiSrF6,5.28046
SnHgRb2Cl6,1.862773
AgPtHgTlF6,0.21481824
CsTlCaPbBr6,3.6945329
