id,prediction
Ag2MgCaBr6,-1.4116676
AgCsHg2Cl6,-1.2016977
RbHgCdSnF6,-2.4017453
RuAgCuHgF6,-1.6815916
SrPtAgHgCl6,-1.1522715
RbErAgCsCl6,-1.6056297
NaFeLiTlBr6,-1.4658237
LiEuNaMgBr6,-1.6084448
TiTlCsAuCl6,-1.5671449
CuRbCsTmF6,-2.4501748
NiTlNaMnF6,-2.5681536
Rb2CsHoBr6,-1.6480427
NaPtNiCsF6,-2.0676408
NaInRb2Br6,-1.6374452
ZnAuMnCuCl6,-0.9806396
NiAgCrCsBr6,-1.2394779
NaCsNiZnCl6,-1.539832
LiGaCuTlCl6,-1.455033
NaTlMgMnF6,-3.0253212
SnHgFeCuCl6,-0.93062687
NaRbAgLuCl6,-1.5816495
CaHgSrAuCl6,-1.724563
BeBaAgTlF6,-2.5760493
CaCuBeNaF6,-2.9551754
CuAgCrRbBr6,-1.1053355
MgRbSrTlBr6,-1.8751667
LiSnCaHgCl6,-1.7208519
MnTlLiZnF6,-2.6242332
RbHgLiMnCl6,-1.5364653
Cs2RbLaF6,-2.810445
NaCsBePtBr6,-1.1923399
Rb2AgErBr6,-1.3051753
AgAuCaMnCl6,-1.3563936
Mg2LiRbCl6,-2.0320313
Cs2CdPbBr6,-1.5051361
Na2CoCsCl6,-1.5694249
ZnAuBeCsCl6,-1.363538
LiCdNaZnF6,-2.7511497
LiTlNiPtBr6,-0.8913601
AlCuRbAgCl6,-1.4844611
CsAuAgHgF6,-1.8549862
NaHgPdAgCl6,-1.1106048
Cs2NaAlBr6,-1.7338417
Li2BeBaF6,-3.1081257
CrHgNaMnF6,-2.5966954
BeCsCrAuI6,-0.8544594
RbBiLiTlBr6,-1.5388055
NaCrCuCdBr6,-1.158448
BaAuRbPbCl6,-1.6113164
CuDyHgTlF6,-2.0907981
LiTlAsRbCl6,-1.5190912
RbTlRhHgF6,-2.1361659
MgCsMnAgF6,-2.6151621
Cs2LiTlCl6,-1.7778184
CrCsNaSnI6,-1.1710628
Cu2RbHgCl6,-1.1756127
Rb2TiPtCl6,-1.4479347
FeRbCuBaI6,-1.1531746
LiHgCuSnCl6,-1.2253914
AgCsYbTlBr6,-1.3421009
CuSnLiTlCl6,-1.4493563
RbAgSnHgCl6,-1.2803313
NaMnRbPtF6,-2.2307897
CuRbTiPbF6,-2.5073256
NaZnBaHgF6,-2.7239184
AlHgLiCsCl6,-1.8290205
NiCuLiZnI6,-0.48019513
CsHgCuMoF6,-2.1690958
MgCsMnRbCl6,-1.8897759
TiAuNaSnCl6,-1.3908752
NaSnSrTlI6,-1.2899187
RbTlZnPbF6,-2.5633001
LiCsRbYbCl6,-1.8065462
LiCrCoTlF6,-2.2245688
LiSnMgRbI6,-1.224941
LiTlRbErF6,-2.683551
RbPdBeAuCl6,-0.9909643
AgAuMoHgCl6,-0.861784
Na2CaSnF6,-3.1767437
RbTlTbHgF6,-2.4422069
PdTlLiPtBr6,-0.77029693
LiTlTmAuCl6,-1.3284936
Rb2PmTlCl6,-1.7730477
ZnAgNaCrCl6,-1.4179456
CaLiCl3,-2.3474202
BeCsRbPbF6,-2.6737564
LiAgFeEuBr6,-1.1215272
FePtRbTlCl6,-1.3423278
BeHgNaSrCl6,-1.8041074
MgEuCu2F6,-2.366206
NaSnZnCsI6,-1.531415
AgSbRbTlBr6,-1.3728458
FeHgNiRbCl6,-1.3162202
LiCsCuYbI6,-0.96976674
NiCdRbAgBr6,-1.187699
CdCsLiSnBr6,-1.3233011
Cu2NaBiF6,-2.2940497
CuAuSrPtCl6,-1.0947082
AgPtCuEuBr6,-0.8389698
RbPbBeNaI6,-1.1313648
MnTlSnHgF6,-2.219953
Sn2RbCsBr6,-1.6821175
CrFeLiHgF6,-2.223708
LiMnCoTlF6,-2.3084161
NaSrMnHgF6,-2.811927
NaSnBeHgF6,-2.4672809
NaCuMnEuBr6,-1.2297308
BeCsAgHgF6,-2.178127
NiAgNaCoF6,-2.1477966
NiCuLiBeI6,-0.52171105
AgAuNdHgCl6,-0.9792639
BeTlZnCsF6,-2.4732091
CuSnLiTiF6,-2.532131
LiErCuAgF6,-2.178286
Cs2HgTlCl6,-1.5872748
CsHgCuYbCl6,-1.3280113
CsEuRbPbI6,-1.1781452
NaPrTl2Cl6,-1.6282294
Cu2NiPtF6,-1.4412963
LiAgHgPbBr6,-1.0996803
ZnEuCuAgF6,-2.061261
LiTlMgMnF6,-3.0194583
CaBaRbAgF6,-2.9740968
BePdRb2Cl6,-1.5329897
Cu2NaAlBr6,-1.1411711
AgBaLiPdBr6,-1.2247676
LiCoTlPbF6,-2.3750196
CuCsNaAsF6,-2.4580967
CuNbLiCsCl6,-1.6193225
CoBaAg2F6,-2.2352662
CuHgCsErCl6,-1.3696175
NaAuCrSrCl6,-1.543136
AgGdHg2F6,-1.9044014
CuRbZnPtBr6,-0.83772993
AgPtTlPbF6,-2.0494142
CuAuCoSrCl6,-1.1533887
CaCuBaHgF6,-2.7373233
RbSnSrTlI6,-1.329183
ZnTlAgPbBr6,-1.1656864
CoAuMnHgCl6,-0.87855864
CuPtRbTlCl6,-1.2102636
BaAuMnRbCl6,-1.6230056
Li2NiZnF6,-2.5125592
LiCuTlBiI6,-0.8187704
CoAgLiCaF6,-2.856232
LiAuRbTmCl6,-1.3888048
CsHgRbSnCl6,-1.5817859
RbCsMnNiBr6,-1.2303158
CoRbNaCuCl6,-1.3476477
LiTlBeNiCl6,-1.4345363
PdTlLiSrCl6,-1.5996486
CoHgAgAuCl6,-0.7483552
CuCsZnPbBr6,-1.1183423
SrCsPdAgCl6,-1.5586157
LiRhRbCsCl6,-1.6586767
GaRbCs2F6,-2.6592875
ZnAgFeCuBr6,-0.7098564
LiCdNiCuF6,-2.162661
SnCsCaAgBr6,-1.5045737
CuBaLiSrF6,-3.2096176
SnHgRb2Cl6,-1.644157
AgPtHgTlF6,-1.8336452
CsTlCaPbBr6,-1.7129056
NiCuAgBaF6,-2.244555
BeNaRbHgBr6,-1.4124626
Ag2CaCrBr6,-1.1532748
LiScCsHgCl6,-1.7917907
MgFeCsTlBr6,-1.6268781
CuPtSnTlBr6,-0.93420964
BeAgRbEuCl6,-1.5082643
Sr2RbAgF6,-2.95545
NaCuBeRbCl6,-1.5017256
RbHgBeNaI6,-1.0443412
SnCsBeAuI6,-0.7478875
RbCsSrBaBr6,-2.1369681
Mg2LiHgF6,-2.840439
MgCuNaSrBr6,-1.6932142
NaScCu2Cl6,-1.6715711
SnTlRbBaI6,-1.3643849
BeTlMgHgCl6,-1.5831546
MgAgCaCuBr6,-1.3617501
CrTlCaCsBr6,-1.8769667
CsDyRb2Cl6,-1.8908279
MnFeRbAgF6,-2.127044
NiCsFeAgCl6,-1.1258113
CsPbPdTlF6,-2.1789365
MgSrAuTlCl6,-1.7564875
RbCdF3,-2.6132386
Rb2CdHgF6,-2.4213202
Zn2LiNaI6,-1.0895813
AgTlSbHgF6,-2.088716
BeRbCaCuF6,-2.8564036
CrCsLiSrF6,-3.118232
MgAgNaPtF6,-2.2563252
MgAuRbSrI6,-1.1623715
RbSrCl3,-2.433447
AlAgLiNaCl6,-1.6531141
LiSrRbCdI6,-1.2294077
CdCsZnRbBr6,-1.5015792
BeTlSrAuI6,-1.0305135
NaPtCaCuF6,-2.5174053
NaPtLiCoCl6,-1.1141082
Ag2NiPtBr6,-0.47402462
NiTlTiCsBr6,-1.4419918
NaAuCd2Cl6,-1.246403
CaAgFeCsBr6,-1.4759852
Ag2NiHgBr6,-0.6682662
CuSrHgPbF6,-2.3831387
CdBaNaAgF6,-2.745249
ScRbLiCsI6,-1.7285143
LiCsNaYbI6,-1.2020642
NaCsPdHgBr6,-1.1709396
CrFeNaAgF6,-2.2443862
Cu2LiAgF6,-1.9816948
AgBaCuTlF6,-2.339694
Li2RbPrF6,-2.7527668
ZnCdRb2Br6,-1.5309381
CaTlCuPbI6,-1.0474828
RbHgMnCdF6,-2.467245
CoHgCsTlCl6,-1.4602516
NaAgLaHgF6,-2.2773108
NaCuLiTmI6,-0.97688055
NaAuTiZnCl6,-1.3485744
AgEuCrCsBr6,-1.3893198
AgPtFeCsF6,-1.9783916
CuPbRbSrF6,-2.806769
CsPmLiTlCl6,-1.8038361
LiBaFeRbI6,-1.1896785
TiRbAgEuBr6,-1.4027876
RbCsNaLuI6,-1.2403669
LiPdNaMgCl6,-1.6558907
RbAgCaSnBr6,-1.4711713
LiNaCuHoI6,-0.92766255
LiCuFeCsBr6,-1.2138407
LiTlCrRbCl6,-1.5990742
NaFeF3,-2.556915
NiTlLiCdF6,-2.4249701
NaCsSnHgI6,-0.9686443
Na2GdTlBr6,-1.4811994
LiRhRb2Br6,-1.4967837
RbCdMnAgBr6,-1.0962999
LiAgNiCuBr6,-0.90612805
CuTlLiRhBr6,-0.92610466
ZnRbMnCuCl6,-1.3273056
AgEuLi2Cl6,-1.4372914
CsHgLiFeCl6,-1.4076144
AgHgNaPbCl6,-1.2638463
RbGdCsHgCl6,-1.6170164
RbRuCuTlF6,-2.0514607
CrCoLiHgCl6,-1.1739498
CsAuNaAgF6,-2.2037265
CoAgTiTlCl6,-1.3025482
CuHgAgGdCl6,-1.0471904
AgHoHgTlF6,-2.122241
SrHgCrCsF6,-2.7295692
AgSnTiRbCl6,-1.5205495
CsPbBeAgBr6,-1.168392
MgRbLiPdI6,-1.0131036
SrSnNaCsCl6,-2.0637333
CsTlMnPtF6,-2.1611605
LiCaCdTlCl6,-1.8710747
NaCuCr2F6,-2.3621674
CsHgLiFeBr6,-1.1577228
Cu2PdCdBr6,-0.6941152
LiBeCaHgCl6,-1.7800872
MoAgHgTlF6,-2.0174227
LiCsAsAuI6,-0.78098404
CoAuAgPtCl6,-0.57279986
CuTlCaBaBr6,-1.7283976
LiRbAlCuCl6,-1.6659085
TiRbLiSnCl6,-1.76887
LiPbBeHgCl6,-1.4077191
BeNaBaTlCl6,-1.9145244
ZnAgCdHgF6,-2.0337112
MnFeRbTlF6,-2.3114567
RbPbNaSrI6,-1.4033577
BeCuMnAuCl6,-1.0060799
Cu2BeFeBr6,-0.7218423
NaScRbAgF6,-2.744469
NiPtCsHgCl6,-1.1791312
CrAgFeTlCl6,-1.2905381
TiCsCuSrCl6,-1.9900761
CuAgRbDyF6,-2.2645676
AgHgCuSmCl6,-1.0559024
CuTlHg2F6,-1.886871
BeSnLiRbCl6,-1.7458189
LiTlAgGdBr6,-1.1756831
RbHgNaSmF6,-2.6733027
RbSnCoCsF6,-2.4009264
AsTlRbHgF6,-2.2285109
Rb2NaSmI6,-1.2250574
MgHgMnCuCl6,-1.3360151
SnTlSrHgCl6,-1.68538
SrCsMnRbBr6,-1.8163601
MnAuSrTlCl6,-1.5107371
TiHgNaSnF6,-2.62914
RbAgTiAuCl6,-1.3046952
