,correct_formula,ML_prediction
194,InEuI3,-1.4682238
195,InMgBr3,-1.3545513
196,InMgI3,-0.84316975
197,InPbI3,-0.5933404
198,InPtBr3,-0.6222534
199,InPtCl3,-0.6465818
200,InSnI3,-0.607638
201,InSrBr3,-1.6376271
202,InSrCl3,-1.783373
203,InSrI3,-1.3206408
204,InTiBr3,-1.1418121
205,InTiCl3,-1.3685081
206,InZnBr3,-0.561572
207,InZnI3,-0.39256883
208,KBaBr3,-1.9650303
209,KBaI3,-1.6413159
210,KBeBr3,-0.94594723
211,KBeCl3,-0.7443595
212,KBeF3,-2.1880493
213,KBeI3,-1.1092505
214,KCaI3,-1.5592294
215,KCrI3,-0.829257
216,KCuI3,-0.54432875
217,KFeF3,-2.1354313
218,KFeI3,-0.62211907
219,KMgI3,-1.0728586
220,KNiI3,-0.5979499
221,KPdI3,-0.45614198
222,KPtBr3,-0.94338953
223,KSrBr3,-1.8915759
224,KSrI3,-1.533735
225,KTiBr3,-1.5098108
226,KZnI3,-0.4725026
227,LiBeBr3,-1.0651373
228,LiBeCl3,-1.0023403
229,LiBeF3,-2.5188825
230,LiBeI3,-1.2410579
231,LiCoCl3,-0.83419496
232,LiCrBr3,-0.9822588
233,LiCrCl3,-1.2178776
234,LiCrF3,-2.4072373
235,LiCrI3,-0.5689012
236,LiCuBr3,-0.7982358
237,LiCuCl3,-0.92161167
238,LiCuI3,-0.54862624
239,LiFeBr3,-0.76825917
240,LiFeCl3,-0.968331
241,LiFeF3,-2.1364186
242,LiFeI3,-0.43047678
243,LiMgBr3,-1.2991148
244,LiMgCl3,-1.6008999
245,LiMgI3,-0.7369805
246,LiMnBr3,-0.8647162
247,LiMnCl3,-0.8972018
248,LiNiBr3,-0.74437
249,LiNiCl3,-0.91311944
250,LiNiI3,-0.4096278
251,LiZnBr3,-0.69994664
252,LiZnI3,-0.39581823
253,NaBeBr3,-0.9944411
254,NaBeCl3,-0.8068632
255,NaBeF3,-2.237902
256,NaBeI3,-1.1400508
257,NaCaBr3,-1.8963604
258,NaCaCl3,-2.1689305
259,NaCaI3,-1.4615288
260,NaCdBr3,-0.81058
261,NaCdI3,-0.66532046
262,NaCrBr3,-1.1841573
263,NaCrI3,-0.75382304
264,NaCuBr3,-0.8672621
265,NaCuI3,-0.5737377
266,NaFeBr3,-0.94320345
267,NaFeF3,-2.121956
268,NaFeI3,-0.55691075
269,NaMgI3,-0.9436785
270,NaMnBr3,-0.8361225
271,NaNiBr3,-0.9201028
272,NaNiI3,-0.5289429
273,NaPdBr3,-0.85525787
274,NaPdCl3,-0.88045454
275,NaPdI3,-0.44466305
276,NaPtBr3,-0.918926
277,NaPtCl3,-0.9045321
278,NaPtF3,-1.3640529
279,NaSnBr3,-1.1276342
280,NaSnCl3,-1.355725
281,NaSnI3,-0.78600335
282,NaTiBr3,-1.4444158
283,NaZnBr3,-0.8460171
284,NaZnI3,-0.44150788
285,PbAgBr3,-0.82297844
286,PbAgCl3,-0.89600486
287,PbCuBr3,-0.7878306
288,PbCuCl3,-0.7402917
289,PbCuF3,-1.4638596
290,PbCuI3,-0.8591852
291,PbLiBr3,-0.9727087
292,PbLiI3,-0.60084736
293,PbNaBr3,-1.2518705
294,PbNaCl3,-1.385549
295,PbNaF3,-2.2784097
296,PbNaI3,-0.94814456
297,PdBeBr3,-1.1654012
298,PdBeCl3,-0.90027446
299,PdBeF3,-1.4834795
300,PdBeI3,-1.3281567
301,PdLiBr3,-1.0806702
302,PdLiCl3,-1.3381007
303,PdLiF3,-2.396346
304,PdLiI3,-0.6197752
305,PtCuBr3,-0.8621031
306,PtCuCl3,-0.8388119
