,compound,OQMD_id,OQMD_hf,DFT_hf,DFT_corrected_hf,POTCAR,SPIN
339,KVF3,5465,-2.85942374,-2.705994158,-2.848194158,pp_mismatch,Magnetic
340,KYF3,1713421,-3.25854709,-3.124700796,-3.266900796,pp_match,Magnetic
341,KYbBr3,1711879,-2.14031254,-1.948773196,-2.1221731960000003,pp_match,Non-magnetic
342,KYbCl3,1711939,-2.49019575,-2.265068738,-2.478068738,pp_match,Non-magnetic
343,KYbF3,1706435,-3.83940725,-3.6991377140000004,-3.8413377140000002,pp_match,Non-magnetic
344,KYbI3,1728520,-1.62874635,-1.5114644320000001,-1.610464432,pp_match,Non-magnetic
345,KZnBr3,1713482,-1.32095785,-1.1061576780000002,-1.2795576780000002,pp_match,Non-magnetic
346,KZnCl3,1710675,-1.61670383,-1.3687332140000001,-1.5817332140000002,pp_match,Non-magnetic
347,KZnF3,4219,-2.78903541,-2.592552188,-2.734752188,pp_match,Non-magnetic
348,LiAsI3,1535068,-0.35389294,-0.26941370200000003,-0.3684137019999998,pp_match,Non-magnetic
349,LiCaF3,1713422,-3.38316771,-3.205506814,-3.347706814,pp_mismatch,Non-magnetic
350,LiCdF3,1713244,-2.3541202,-2.166461228,-2.308661228,pp_match,Non-magnetic
351,LiCoF3,1711900,-2.17823609,-2.01239535,-2.1545953499999997,pp_match,Magnetic
352,LiCuF3,1722755,-2.11644226,-1.9646132439999997,-2.1068132439999996,pp_match,Non-magnetic
353,LiGeI3,1711977,-0.50834542,-0.39314342400000024,-0.492143424,pp_match,Non-magnetic
354,LiHgF3,1711898,-1.83878909,-1.6640845720000002,-1.790684572,pp_match,Non-magnetic
355,LiMgF3,1713232,-3.34943296,-3.1839071060000004,-3.3261071060000003,pp_match,Non-magnetic
356,LiMnF3,1713247,-2.54629762,-2.3849451960000003,-2.527145196,pp_mismatch,Magnetic
357,LiNiF3,1713492,-2.16965603,-1.9976231980000003,-2.139823198,pp_match,Magnetic
358,LiPdF3,1711872,-1.79673007,-1.661256808,-1.803456808,pp_match,Non-magnetic
359,LiTmF3,1722756,-3.24262411,-3.099751384,-3.241951384,pp_match,Magnetic
360,LiVF3,1711853,-2.60414524,-2.46952614,-2.61172614,pp_mismatch,Magnetic
361,LiYbF3,1711958,-3.55586093,-3.407524958,-3.549724958,pp_match,Non-magnetic
362,LiZnCl3,1722757,-1.31658972,-1.0806361680000003,-1.293636168,pp_match,Non-magnetic
363,LiZnF3,1709257,-2.55435997,-2.37104525,-2.5132452499999998,pp_match,Non-magnetic
364,NaAgF3,1713233,-1.92341314,-1.7619695420000006,-1.9223695420000004,pp_match,Non-magnetic
365,NaCaF3,1713234,-3.50677647,-3.3403226160000004,-3.500722616,pp_mismatch,Non-magnetic
366,NaCdCl3,1725941,-1.4577038,-1.197999748,-1.4291997479999998,pp_match,Non-magnetic
367,NaCdF3,1709164,-2.49182127,-2.3026317720000007,-2.4630317720000003,pp_match,Non-magnetic
368,NaCeF3,1711854,-3.21162449,-3.286832226,-3.4472322259999997,pp_mismatch,Magnetic
369,NaCoCl3,1725942,-1.1185436,-0.8772064879999997,-1.1084064879999995,pp_match,Magnetic
370,NaCoF3,1706388,-2.3143655,-2.1266115840000004,-2.2870115840000005,pp_match,Magnetic
371,NaCrCl3,1725943,-1.44340377,-1.215800722,-1.4470007220000003,pp_mismatch,Magnetic
372,NaCrF3,1706389,-2.61817208,-2.4522101000000003,-2.6126101000000004,pp_mismatch,Magnetic
373,NaCuCl3,1725944,-1.16783353,-0.9475800099999998,-1.1787800099999997,pp_match,Non-magnetic
374,NaCuF3,1710589,-2.22417393,-2.075124326,-2.235524326,pp_match,Non-magnetic
375,NaDyF3,1713235,-3.30048786,-3.1366953879999997,-3.297095388,pp_match,Magnetic
376,NaFeCl3,1725945,-1.24474807,-1.0025454319999993,-1.2337454319999996,pp_match,Magnetic
