,compound,OQMD_id,OQMD_hf,DFT_hf,DFT_corrected_hf,POTCAR,SPIN
53,CsBaF3,1344290,-3.51249239,-3.335197538,-3.477397538,pp_match,Non-magnetic
54,CsBaI3,1440784,-1.75346028,-1.6551789460000004,-1.7541789460000001,pp_match,Non-magnetic
55,CsCaCl3,1344684,-2.51261902,-2.289163284,-2.5021632839999994,pp_mismatch,Non-magnetic
56,CsCaI3,1384839,-1.71266056,-1.603531792,-1.702531792,pp_mismatch,Non-magnetic
57,CsCdBr3,1706428,-1.44602544,-1.2394557519999998,-1.412855752,pp_match,Non-magnetic
58,CsCdCl3,1345809,-1.69702521,-1.453635282,-1.6666352819999999,pp_match,Non-magnetic
59,CsCdF3,646364,-2.68997087,-2.477737684,-2.619937684,pp_match,Non-magnetic
60,CsCdI3,1709173,-1.050527,-0.920488824,-1.0194888239999997,pp_match,Non-magnetic
61,CsCeBr3,1711895,-1.86166116,-1.8838928860000004,-2.057292886,pp_mismatch,Magnetic
62,CsCeCl3,1709261,-2.15270021,-2.1437412240000002,-2.3567412240000003,pp_mismatch,Magnetic
63,CsCeF3,1711953,-3.20044542,-3.2716803240000005,-3.4138803240000004,pp_mismatch,Magnetic
64,CsCeI3,1711867,-1.43596939,-1.5224607039999998,-1.6214607039999998,pp_mismatch,Magnetic
65,CsCoI3,1711862,-0.6083221,-0.4985808860000005,-0.5975808860000003,pp_match,Magnetic
66,CsCrBr3,1706429,-1.32605532,-1.1515859460000004,-1.3249859460000004,pp_mismatch,Magnetic
67,CsCrCl3,1709221,-1.61723283,-1.4070773840000004,-1.6200773840000005,pp_mismatch,Magnetic
68,CsCrF3,1706425,-2.69401603,-2.5135728340000005,-2.6557728340000004,pp_mismatch,Magnetic
69,CsCrI3,1432912,-0.90191783,-0.29256049300000075,-0.3915604930000005,pp_mismatch,Non-magnetic
70,CsCuBr3,1709212,-1.08760139,-0.9207400319999999,-1.094140032,pp_mismatch,Non-magnetic
71,CsCuCl3,1575757,-1.3048979,-1.1030865339999996,-1.3160865339999996,pp_mismatch,Non-magnetic
72,CsCuF3,1576135,-2.20542233,-2.040699824,-2.1828998239999997,pp_mismatch,Non-magnetic
73,CsCuI3,1722739,-0.75009369,-0.658465386,-0.7574653859999998,pp_mismatch,Non-magnetic
74,CsDyBr3,1706422,-1.81680469,-1.6318752179999998,-1.805275218,pp_match,Magnetic
75,CsDyF3,1706460,-3.21714358,-3.0315272859999993,-3.173727285999999,pp_match,Magnetic
76,CsDyI3,1706396,-1.36848102,-1.259258236,-1.3582582359999997,pp_match,Magnetic
77,CsEuBr3,1386802,-2.27297156,-2.8105635820000003,-2.9839635820000003,pp_mismatch,Non-magnetic
78,CsEuCl3,6025,-2.59957464,-3.9291578019999998,-4.142157802,pp_mismatch,Magnetic
79,CsEuI3,1706456,-1.79026027,-3.28918274,-3.38818274,pp_mismatch,Magnetic
80,CsFeBr3,1575236,-1.1240797,-0.9386968540000002,-1.1120968540000002,pp_mismatch,Magnetic
81,CsFeCl3,1709267,-1.41201271,-1.19041073,-1.40341073,pp_mismatch,Magnetic
82,CsFeI3,1711863,-0.69998059,-0.5902365140000003,-0.6892365140000001,pp_mismatch,Magnetic
83,CsGdBr3,1706405,-1.83867555,-3.6032500800000005,-3.7766500800000005,pp_mismatch,Magnetic
84,CsGdCl3,1706452,-2.14953699,-3.87256451,-4.08556451,pp_mismatch,Magnetic
85,CsGdF3,1706462,-3.22531254,-4.969911136,-5.112111135999999,pp_mismatch,Magnetic
86,CsGeBr3,14503,-1.31213636,-1.1220880939999995,-1.295488094,pp_match,Non-magnetic
87,CsGeCl3,1706432,-1.54889686,-1.3225172059999997,-1.5355172059999997,pp_match,Non-magnetic
88,CsGeF3,1709200,-2.57756861,-2.384576206,-2.526776206,pp_match,Non-magnetic
89,CsGeI3,1706397,-0.93535493,-0.8208284199999998,-0.9198284199999998,pp_match,Non-magnetic
90,CsHgBr3,4639,-1.17758174,-0.9893896739999997,-1.147189674,pp_match,Non-magnetic
91,CsHgCl3,1383702,-1.37405126,-1.1476473379999999,-1.345047338,pp_match,Non-magnetic
92,CsHgF3,3031,-2.21662355,-2.019588,-2.1461880000000004,pp_match,Non-magnetic
93,CsHgI3,1706430,-0.85232586,-0.74193416,-0.8253341599999999,pp_match,Non-magnetic
94,CsLaBr3,1711877,-1.90841958,-1.7279273500000003,-1.9013273500000005,pp_match,Magnetic
95,CsLaCl3,1709262,-2.19835446,-1.9820164800000004,-2.1950164800000005,pp_match,Magnetic
96,CsMgBr3,1709208,-1.80672158,-1.6288616879999998,-1.802261688,pp_mismatch,Non-magnetic
97,CsMgCl3,1709269,-2.14159644,-1.9263025099999997,-2.13930251,pp_mismatch,Non-magnetic
98,CsMgF3,646366,-3.40771293,-3.215682868,-3.357882868,pp_mismatch,Non-magnetic
99,CsMgI3,1711869,-1.32294597,-1.221384708,-1.3203847079999997,pp_mismatch,Non-magnetic
100,CsMnBr3,1709199,-1.39770903,-1.2183327160000004,-1.3917327160000008,pp_mismatch,Magnetic
101,CsMnCl3,1709222,-1.68987226,-1.4737996179999997,-1.6867996179999998,pp_mismatch,Magnetic
102,CsMnF3,1346348,-2.78126189,-1.964998112,-2.107198112,pp_mismatch,Non-magnetic
103,CsMoBr3,1711882,-0.93988624,-0.7780743460000004,-0.9514743460000004,pp_match,Magnetic
104,CsMoCl3,1709263,-1.20440657,-1.0085488499999995,-1.2215488499999996,pp_match,Magnetic
105,CsMoF3,1711954,-2.13958089,-1.984174646,-2.126374646,pp_match,Magnetic
106,CsMoI3,1718069,-0.55576935,-0.4674955280000006,-0.5664955279999999,pp_match,Magnetic
107,CsNdCl3,1706445,-2.15878748,-1.9417157839999994,-2.1547157839999995,pp_match,Magnetic
108,CsNdF3,1706447,-3.23866366,-3.0559239500000004,-3.1981239500000003,pp_match,Magnetic
109,CsNiBr3,1575196,-1.04922416,-0.8534464259999996,-1.026846426,pp_mismatch,Magnetic
110,CsNiCl3,1709264,-1.27622654,-1.0462448259999997,-1.2592448259999998,pp_mismatch,Magnetic
111,CsPbBr3,5672,-1.50140142,-1.3026501919999998,-1.4760501919999998,pp_match,Non-magnetic
112,CsPbCl3,5671,-1.74367291,-1.5085243780000002,-1.7215243780000002,pp_match,Non-magnetic
113,CsPbI3,20436,-1.11882425,-0.99561777,-1.0946177699999997,pp_match,Non-magnetic
114,CsPdBr3,1489054,-1.12554959,-0.9617025560000001,-1.1351025560000003,pp_match,Non-magnetic
115,CsPdCl3,1575826,-1.31032552,-1.1120771440000001,-1.3250771440000002,pp_match,Non-magnetic
116,CsPdF3,1440780,-2.06364637,-1.9039001080000002,-2.046100108,pp_match,Non-magnetic
117,CsPdI3,1709174,-0.84730554,-0.7575472800000003,-0.85654728,pp_match,Non-magnetic
118,CsPrBr3,1706407,-1.86257389,-1.6823830860000002,-1.8557830860000002,pp_match,Magnetic
119,CsPrCl3,1706454,-2.15756142,-1.9416315480000002,-2.1546315480000002,pp_match,Magnetic
120,CsPrF3,1706464,-3.2157687,-3.034147554,-3.176347554,pp_match,Magnetic
