,correct_formula,lat_bvm,lat_opt,hf_opt,A,A',B,B',X,bvm_oqmd_lat_err
54,Cs2FeCdF6,6.288937001,6.266911045,-2.545808529,Cs,Cs,Fe,Cd,F,0.351464315
55,Cs2FePbBr6,7.942152656,7.993619744,-1.30103745,Cs,Cs,Fe,Pb,Br,-0.643852093
56,Cs2FePtF6,6.144687218,6.247946626,-2.150257212,Cs,Cs,Fe,Pt,F,-1.652693504
57,Cs2FeSrBr6,8.005792266,8.011123642,-1.659956557,Cs,Cs,Fe,Sr,Br,-0.066549666
58,Cs2FeSrCl6,7.570214489,7.594962683,-1.961305621,Cs,Cs,Fe,Sr,Cl,-0.325850107
59,Cs2FeSrF6,6.38368931,6.437755208,-3.051349915,Cs,Cs,Fe,Sr,F,-0.839825316
60,Cs2FeZnF6,6.113574519,6.086556951,-2.547628848,Cs,Cs,Fe,Zn,F,0.443889184
61,Cs2GaRbCl6,7.848036743,7.838391832,-1.855851172,Cs,Cs,Ga,Rb,Cl,0.123047064
62,Cs2GaRbI6,8.897383206,8.935014175,-1.135362795,Cs,Cs,Ga,Rb,I,-0.421162947
63,Cs2InAuCl6,7.39831683,7.52716391,-1.460907117,Cs,Cs,In,Au,Cl,-1.711761316
64,Cs2K_BiF6,6.81848927,6.902772838,-2.885718637,Cs,Cs,K,Bi,F,-1.22101031
65,Cs2K_CoCl6,7.657117912,7.539461545,-1.642556692,Cs,Cs,K,Co,Cl,1.560540714
66,Cs2K_CoF6,6.428166326,6.474830396,-2.664137291,Cs,Cs,K,Co,F,-0.720699496
67,Cs2K_CrBr6,8.159163727,8.075292997,-1.591158835,Cs,Cs,K,Cr,Br,1.038609126
68,Cs2K_CuCl6,7.691059038,7.651124767,-1.514709065,Cs,Cs,K,Cu,Cl,0.521939874
69,Cs2K_CuF6,6.394225201,6.45470723,-2.470997644,Cs,Cs,K,Cu,F,-0.937022034
70,Cs2K_FeBr6,8.094109903,8.137684244,-1.448475032,Cs,Cs,K,Fe,Br,-0.535463649
71,Cs2K_GaF6,6.428166326,6.473525478,-3.027555576,Cs,Cs,K,Ga,F,-0.700687008
72,Cs2K_InCl6,7.95410276,7.891763839,-1.893513867,Cs,Cs,K,In,Cl,0.789923802
73,Cs2K_MnF6,6.462107452,6.488357774,-2.925985858,Cs,Cs,K,Mn,F,-0.404575748
74,Cs2K_MoF6,6.544343971,6.613006813,-2.888489447,Cs,Cs,K,Mo,F,-1.038299883
75,Cs2K_NiF6,6.394225201,6.417618832,-2.58810635,Cs,Cs,K,Ni,F,-0.364521976
76,Cs2K_RuF6,6.988194897,6.692526009,-2.483119806,Cs,Cs,K,Ru,F,4.417896734
77,Cs2K_SbBr6,8.475947565,8.470335513,-1.548032274,Cs,Cs,K,Sb,Br,0.066255368
78,Cs2K_SbF6,6.689795835,6.820314527,-2.869731739,Cs,Cs,K,Sb,F,-1.913675557
79,Cs2K_SbI6,9.140627939,9.081655863,-1.158144302,Cs,Cs,K,Sb,I,0.649353784
80,Cs2K_ScBr6,8.292099802,8.259890214,-1.991640921,Cs,Cs,K,Sc,Br,0.389951769
81,Cs2K_ScI6,8.897383206,8.893260688,-1.520669012,Cs,Cs,K,Sc,I,0.046355529
82,Cs2K_TiF6,6.520090208,6.537188677,-3.274473592,Cs,Cs,K,Ti,F,-0.261556915
83,Cs2LiBiBr6,7.795710841,8.02029542,-1.553706454,Cs,Cs,Li,Bi,Br,-2.800203325
84,Cs2LiMoF6,5.975830118,6.206028763,-2.85902219,Cs,Cs,Li,Mo,F,-3.709274542
85,Cs2LiNbF6,5.964304278,6.237300694,-2.964382497,Cs,Cs,Li,Nb,F,-4.376835901
86,Cs2LiRuF6,6.360284075,6.253727182,-2.466114414,Cs,Cs,Li,Ru,F,1.703894172
87,Cs2MgBaBr6,8.362174084,8.28597537,-2.014017662,Cs,Cs,Mg,Ba,Br,0.919610675
88,Cs2MgBaI6,8.967457488,8.9324755,-1.550101612,Cs,Cs,Mg,Ba,I,0.391627024
89,Cs2MgCaCl6,7.437278414,7.477636183,-2.331181336,Cs,Cs,Mg,Ca,Cl,-0.539712925
90,Cs2MgCdF6,6.235196886,6.201431035,-3.037710956,Cs,Cs,Mg,Cd,F,0.544484826
91,Cs2MgCuF6,6.082461821,6.027777196,-2.758217665,Cs,Cs,Mg,Cu,F,0.907210456
92,Cs2MgPbBr6,8.027005469,8.083230633,-1.645438795,Cs,Cs,Mg,Pb,Br,-0.695577877
93,Cs2MgPbCl6,7.61829775,7.662020661,-1.939932475,Cs,Cs,Mg,Pb,Cl,-0.57064465
94,Cs2MgPtF6,6.107917665,6.175424378,-2.583312835,Cs,Cs,Mg,Pt,F,-1.093150994
95,Cs2MgSnCl6,7.466906188,7.606702174,-1.904696403,Cs,Cs,Mg,Sn,Cl,-1.837800177
96,Cs2MgSnF6,6.247924808,6.365546703,-3.058528341,Cs,Cs,Mg,Sn,F,-1.847789365
97,Cs2MgSrBr6,8.093473507,8.086047441,-2.014889316,Cs,Cs,Mg,Sr,Br,0.091838022
98,Cs2MnBaBr6,7.731434835,8.284417754,-1.803622008,Cs,Cs,Mn,Ba,Br,-6.674976268
99,Cs2MnBaF6,6.721686351,6.68353424,-3.166414908,Cs,Cs,Mn,Ba,F,0.570837369
100,Cs2MnCdCl6,6.93947524,7.401918948,-1.683266452,Cs,Cs,Mn,Cd,Cl,-6.247619182
101,Cs2MnPbCl6,7.295857058,7.639316287,-1.717081682,Cs,Cs,Mn,Pb,Cl,-4.495941994
102,Cs2MnPtF6,6.232368459,6.279821838,-2.251516484,Cs,Cs,Mn,Pt,F,-0.755648492
103,Cs2MnRbCl6,7.941374838,7.819593903,-1.809724949,Cs,Cs,Mn,Rb,Cl,1.557381835
104,Cs2MnRbF6,6.620499371,6.611497584,-2.908667684,Cs,Cs,Mn,Rb,F,0.136153525
105,Cs2MnSrBr6,7.53910179,8.084379602,-1.804432114,Cs,Cs,Mn,Sr,Br,-6.744831871
106,Cs2MnSrCl6,7.278886495,7.664645789,-2.108907601,Cs,Cs,Mn,Sr,Cl,-5.032969619
107,Cs2MoAgF6,6.394437333,6.468963958,-2.497798961,Cs,Cs,Mo,Ag,F,-1.15206431
108,Cs2NaFeF6,6.210377438,6.272458996,-2.842282346,Cs,Cs,Na,Fe,F,-0.989748327
109,Cs2NaNbF6,6.245732777,6.398435754,-2.990971704,Cs,Cs,Na,Nb,F,-2.386567325
110,Cs2NaRuCl6,7.483169644,7.395522781,-1.618338662,Cs,Cs,Na,Ru,Cl,1.185134109
111,Cs2NaSbCl6,7.587821448,7.747238996,-1.801720457,Cs,Cs,Na,Sb,Cl,-2.057733705
112,Cs2NaScBr6,7.887634723,7.9702456,-1.980255427,Cs,Cs,Na,Sc,Br,-1.036490983
113,Cs2NaScF6,6.307958174,6.349547767,-3.541592318,Cs,Cs,Na,Sc,F,-0.655000868
114,Cs2NaTiF6,6.261289126,6.29637141,-3.271299511,Cs,Cs,Na,Ti,F,-0.557182569
115,Cs2NbAgCl6,7.387003122,7.48455147,-1.580770809,Cs,Cs,Nb,Ag,Cl,-1.303329243
116,Cs2NbAuCl6,7.338919861,7.493351229,-1.446909929,Cs,Cs,Nb,Au,Cl,-2.060911911
117,Cs2NiAgF6,6.300887106,6.199552704,-2.238364495,Cs,Cs,Ni,Ag,F,1.634543762
118,Cs2NiBaI6,8.885433102,8.715577898,-1.216897651,Cs,Cs,Ni,Ba,I,1.948869094
119,Cs2NiCdF6,6.246510594,6.203867306,-2.473461519,Cs,Cs,Ni,Cd,F,0.687366217
120,Cs2NiPbF6,6.342677117,6.414315955,-2.53257079,Cs,Cs,Ni,Pb,F,-1.116858579
121,Cs2NiSnBr6,7.782346523,7.804338113,-1.251504253,Cs,Cs,Ni,Sn,Br,-0.281786741
122,Cs2NiSnCl6,7.404680791,7.439562186,-1.502575864,Cs,Cs,Ni,Sn,Cl,-0.468863545
123,Cs2NiSrCl6,7.522131228,7.519614117,-1.91533409,Cs,Cs,Ni,Sr,Cl,0.033473938
124,Cs2PdBaBr6,8.251865426,8.217948669,-1.582581413,Cs,Cs,Pd,Ba,Br,0.41271561
125,Cs2PdCdCl6,7.055440752,7.362283958,-1.449694478,Cs,Cs,Pd,Cd,Cl,-4.167771954
126,Cs2PdPbBr6,7.92801052,7.959147951,-1.27159541,Cs,Cs,Pd,Pb,Br,-0.391215633
127,Cs2PdPbF6,6.484098473,6.566187106,-2.354303491,Cs,Cs,Pd,Pb,F,-1.250172005
128,Cs2PdPbI6,8.33671824,8.498714289,-0.940854537,Cs,Cs,Pd,Pb,I,-1.906124191
129,Cs2PdSnBr6,7.782346523,7.854139401,-1.271875989,Cs,Cs,Pd,Sn,Br,-0.914076951
130,Cs2PdSnI6,8.339546667,8.39819911,-0.938477358,Cs,Cs,Pd,Sn,I,-0.698393099
131,Cs2PtPbF6,6.421873076,6.643712658,-2.248192802,Cs,Cs,Pt,Pb,F,-3.339090557
132,Cs2RbMoBr6,8.402408459,8.322756888,-1.5024628,Cs,Cs,Rb,Mo,Br,0.957033493
133,Cs2RbNbCl6,8.026227652,7.970184832,-1.88590916,Cs,Cs,Rb,Nb,Cl,0.703155839
134,Cs2RbNbF6,6.677067913,6.810675115,-2.962950587,Cs,Cs,Rb,Nb,F,-1.96173213
135,Cs2RbRhBr6,8.289483507,8.174105147,-1.429084622,Cs,Cs,Rb,Rh,Br,1.411510593
136,Cs2RbRhCl6,7.862178879,7.767195407,-1.683171792,Cs,Cs,Rb,Rh,Cl,1.222879907
137,Cs2RbRhF6,6.677067913,6.645999991,-2.603196865,Cs,Cs,Rb,Rh,F,0.467467981
138,Cs2RbRuCl6,8.094109903,7.782801003,-1.628901436,Cs,Cs,Rb,Ru,Cl,3.999959653
139,Cs2RbRuF6,7.217297494,6.665022197,-2.595327888,Cs,Cs,Rb,Ru,F,8.286173409
140,Cs2RhAgCl6,7.302150308,7.286698968,-1.369531679,Cs,Cs,Rh,Ag,Cl,0.212048557
141,Cs2RhAuCl6,7.27103761,7.249044659,-1.257005891,Cs,Cs,Rh,Au,Cl,0.303391026
142,Cs2RuAgCl6,7.429429529,7.310472804,-1.315162125,Cs,Cs,Ru,Ag,Cl,1.627209733
143,Cs2RuAgF6,6.747778592,6.384978201,-2.220376748,Cs,Cs,Ru,Ag,F,5.682092868
144,Cs2SbAuCl6,7.4577138,7.645706821,-1.402059701,Cs,Cs,Sb,Au,Cl,-2.458804992
145,Cs2ScAgBr6,7.777326065,7.879771033,-1.699305547,Cs,Cs,Sc,Ag,Br,-1.300100822
146,Cs2ScAgF6,6.405538909,6.455851233,-3.155442722,Cs,Cs,Sc,Ag,F,-0.779329049
147,Cs2ScRbBr6,8.458977002,8.408562933,-1.982230805,Cs,Cs,Sc,Rb,Br,0.599556302
148,Cs2SnBaF6,6.892806192,7.029013592,-3.103295921,Cs,Cs,Sn,Ba,F,-1.937788257
149,Cs2SnPbCl6,8.029763186,8.03712546,-1.694295057,Cs,Cs,Sn,Pb,Cl,-0.091603323
150,Cs2SrCdI6,7.988821703,8.841390164,-1.377399719,Cs,Cs,Sr,Cd,I,-9.642923174
151,Cs2SrPbF6,6.810781806,6.883631047,-3.177910944,Cs,Cs,Sr,Pb,F,-1.058296711
152,Cs2SrPdBr6,7.99165013,8.03539794,-1.57622425,Cs,Cs,Sr,Pd,Br,-0.544438624
153,Cs2SrPdF6,6.474198978,6.543687985,-2.775383646,Cs,Cs,Sr,Pd,F,-1.061924211
154,Cs2SrPtCl6,7.55890078,7.667374924,-1.765959495,Cs,Cs,Sr,Pt,Cl,-1.414749443
155,Cs2TiAuCl6,7.353061996,7.404349111,-1.633285377,Cs,Cs,Ti,Au,Cl,-0.692662032
156,Cs2TiAuI6,8.190276425,8.318109473,-0.964997333,Cs,Cs,Ti,Au,I,-1.536804107
157,Cs2TiCdCl6,7.213832671,7.647268052,-1.74780139,Cs,Cs,Ti,Cd,Cl,-5.66784606
158,Cs2TiCoF6,6.501069036,6.297358797,-2.537752379,Cs,Cs,Ti,Co,F,3.234852032
159,Cs2TiPbF6,6.981901647,6.544313357,-2.866782498,Cs,Cs,Ti,Pb,F,6.68654244
160,Cs2TiSnCl6,7.738435192,7.606910075,-1.74631447,Cs,Cs,Ti,Sn,Cl,1.729021583
161,Cs2TiSrBr6,8.376316219,8.064898969,-1.859949331,Cs,Cs,Ti,Sr,Br,3.861390591
162,Cs2V_BaF6,7.213832671,6.6231676,-3.203966975,Cs,Cs,V,Ba,F,8.918165849
163,Cs2V_RbCl6,8.012085516,7.820651154,-1.92242602,Cs,Cs,V,Rb,Cl,2.447805921
164,Cs2V_RbF6,6.668582632,6.618936334,-3.087026668,Cs,Cs,V,Rb,F,0.750064595
165,Cs2V_SnCl6,7.908140819,7.548101197,-1.681151118,Cs,Cs,V,Sn,Cl,4.76993634
166,Cs2ZnBaF6,6.520868025,6.605498561,-3.132768406,Cs,Cs,Zn,Ba,F,-1.28121345
