,correct_formula,lat_bvm,lat_opt,hf_opt,A,A',B,B',X,bvm_oqmd_lat_err
508,K_2V_CrF6,6.481270046,5.931476362,-2.762805707,K,K,V,Cr,F,9.269086656
510,K_2V_SnF6,6.839066077,6.279915712,-2.736484518,K,K,V,Sn,F,8.903787736
520,K_BaLiTiF6,6.272673545,5.848363136,-3.341177247,K,Ba,Li,Ti,F,7.255199432
521,K_BaLiV_F6,6.286815681,5.811063176,-3.290103347,K,Ba,Li,V,F,8.187013126
530,K_BaV_CuF6,6.586628956,6.00194123,-2.81760557,K,Ba,V,Cu,F,9.741643638
573,Rb2K_RuF6,6.979709616,6.423718149,-2.587647312,Rb,Rb,K,Ru,F,8.655290505
583,Rb2MnSnCl6,7.087896953,7.543798473,-1.640175505,Rb,Rb,Mn,Sn,Cl,-6.043394738
589,Rb2NaRuF6,6.551202906,6.117244996,-2.616830365,Rb,Rb,Na,Ru,F,7.094008991
602,Rb2TiZnF6,6.419044649,5.994037578,-2.847953681,Rb,Rb,Ti,Zn,F,7.090497273
605,Rb2V_CoF6,6.458642629,5.938297143,-2.631804535,Rb,Rb,V,Co,F,8.762537028
606,Rb2V_FeF6,6.472784764,5.958248023,-2.684632738,Rb,Rb,V,Fe,F,8.635705312
607,Rb2V_NiF6,6.402074086,5.928082865,-2.625691049,Rb,Rb,V,Ni,F,7.995691555
609,Rb2V_SnF6,6.841894504,6.33266061,-2.753161828,Rb,Rb,V,Sn,F,8.041389321
610,Rb2V_SrCl6,8.062360808,7.532170869,-2.070141677,Rb,Rb,V,Sr,Cl,7.039005729
611,Rb2V_SrF6,6.972002152,6.346289476,-3.234933131,Rb,Rb,V,Sr,F,9.859504177
625,RbBaLiV_F6,6.295300962,5.863542609,-3.276510395,Rb,Ba,Li,V,F,7.363438484
635,RbBaTiCuF6,6.578143675,6.093427136,-2.869401204,Rb,Ba,Ti,Cu,F,7.954744156
636,RbBaV_AgF6,6.863814814,6.246453098,-2.795723837,Rb,Ba,V,Ag,F,9.883396326
643,RbK_BeBaCl6,6.906948328,7.491049187,-2.002837486,Rb,K,Be,Ba,Cl,-7.797317097
644,RbK_BePbCl6,6.765526972,7.301154044,-1.62552427,Rb,K,Be,Pb,Cl,-7.336197384
645,RbK_CaCdCl6,7.157264128,7.551525402,-2.021656765,Rb,K,Ca,Cd,Cl,-5.220948789
648,RbK_CaMnCl6,7.027156481,7.39928651,-2.044948703,Rb,K,Ca,Mn,Cl,-5.029269086
653,RbK_CaTiF6,6.710372643,6.17927627,-3.330810611,Rb,K,Ca,Ti,F,8.594798967
654,RbK_CaV_Cl6,7.86437091,7.333042621,-2.051379937,Rb,K,Ca,V,Cl,7.245672996
655,RbK_CaV_F6,6.724514778,6.13212721,-3.27047433,Rb,K,Ca,V,F,9.660392678
674,RbK_CuRuF6,6.453622171,5.973600498,-2.206147205,Rb,K,Cu,Ru,F,8.035717708
676,RbK_FeCdCl6,6.848965572,7.238894168,-1.486916283,Rb,K,Fe,Cd,Cl,-5.38657683
728,RbK_RuAgF6,6.711009039,6.241156567,-2.198667327,Rb,K,Ru,Ag,F,7.528291703
732,RbK_TiFeF6,6.450157347,5.957854258,-2.80294504,Rb,K,Ti,Fe,F,8.263093854
733,RbK_TiNiF6,6.376618242,5.958927833,-2.762357753,Rb,K,Ti,Ni,F,7.009489303
735,RbK_TiSnF6,6.827752368,6.367368022,-2.813594295,Rb,K,Ti,Sn,F,7.230371237
740,RbK_V_PbCl6,8.09064508,7.532157833,-1.649149621,Rb,K,V,Pb,Cl,7.414704516
741,RbK_V_PtF6,6.503897463,6.174909697,-2.354320752,Rb,K,V,Pt,F,5.327815015
