,correct_formula,A,A',B,B',X,lat_bvm,lat_opt,lat_err,hf_opt,pbe_bg
65,Cs2K_CoCl6,Cs,Cs,K,Co,Cl,7.657117912,7.539461545,1.560540714,-1.642556692,1.01764
66,Cs2K_CoF6,Cs,Cs,K,Co,F,6.428166326,6.474830396,-0.720699496,-2.664137291,0.000966
67,Cs2K_CrBr6,Cs,Cs,K,Cr,Br,8.159163727,8.075292997,1.038609126,-1.591158835,1.319355
68,Cs2K_CuCl6,Cs,Cs,K,Cu,Cl,7.691059038,7.651124767,0.521939874,-1.514709065,0.007869
69,Cs2K_CuF6,Cs,Cs,K,Cu,F,6.394225201,6.45470723,-0.937022034,-2.470997644,0.003756
70,Cs2K_FeBr6,Cs,Cs,K,Fe,Br,8.094109903,8.137684244,-0.535463649,-1.448475032,0.698736
71,Cs2K_GaF6,Cs,Cs,K,Ga,F,6.428166326,6.473525478,-0.700687008,-3.027555576,6.01354
72,Cs2K_InCl6,Cs,Cs,K,In,Cl,7.95410276,7.891763839,0.789923802,-1.893513867,3.463792
73,Cs2K_MnF6,Cs,Cs,K,Mn,F,6.462107452,6.488357774,-0.404575748,-2.925985858,0
74,Cs2K_MoF6,Cs,Cs,K,Mo,F,6.544343971,6.613006813,-1.038299883,-2.888489447,2.106413
75,Cs2K_NiF6,Cs,Cs,K,Ni,F,6.394225201,6.417618832,-0.364521976,-2.58810635,0
76,Cs2K_RuF6,Cs,Cs,K,Ru,F,6.988194897,6.692526009,4.417896734,-2.483119806,0.339967
77,Cs2K_SbBr6,Cs,Cs,K,Sb,Br,8.475947565,8.470335513,0.066255368,-1.548032274,2.882399
78,Cs2K_SbF6,Cs,Cs,K,Sb,F,6.689795835,6.820314527,-1.913675557,-2.869731739,4.202038
79,Cs2K_SbI6,Cs,Cs,K,Sb,I,9.140627939,9.081655863,0.649353784,-1.158144302,2.352377
80,Cs2K_ScBr6,Cs,Cs,K,Sc,Br,8.292099802,8.259890214,0.389951769,-1.991640921,3.240658
81,Cs2K_ScI6,Cs,Cs,K,Sc,I,8.897383206,8.893260688,0.046355529,-1.520669012,2.362806
82,Cs2K_TiF6,Cs,Cs,K,Ti,F,6.520090208,6.537188677,-0.261556915,-3.274473592,0.000949
83,Cs2LiBiBr6,Cs,Cs,Li,Bi,Br,7.795710841,8.02029542,-2.800203325,-1.553706454,2.934548
84,Cs2LiMoF6,Cs,Cs,Li,Mo,F,5.975830118,6.206028763,-3.709274542,-2.85902219,2.091334
85,Cs2LiNbF6,Cs,Cs,Li,Nb,F,5.964304278,6.237300694,-4.376835901,-2.964382497,0
86,Cs2LiRuF6,Cs,Cs,Li,Ru,F,6.360284075,6.253727182,1.703894172,-2.466114414,0.308458
87,Cs2MgBaBr6,Cs,Cs,Mg,Ba,Br,8.362174084,8.28597537,0.919610675,-2.014017662,3.988202
88,Cs2MgBaI6,Cs,Cs,Mg,Ba,I,8.967457488,8.9324755,0.391627024,-1.550101612,3.157665
89,Cs2MgCaCl6,Cs,Cs,Mg,Ca,Cl,7.437278414,7.477636183,-0.539712925,-2.331181336,5.136898
90,Cs2MgCdF6,Cs,Cs,Mg,Cd,F,6.235196886,6.201431035,0.544484826,-3.037710956,4.734775
91,Cs2MgCuF6,Cs,Cs,Mg,Cu,F,6.082461821,6.027777196,0.907210456,-2.758217665,0.01179
92,Cs2MgPbBr6,Cs,Cs,Mg,Pb,Br,8.027005469,8.083230633,-0.695577877,-1.645438795,3.004817
93,Cs2MgPbCl6,Cs,Cs,Mg,Pb,Cl,7.61829775,7.662020661,-0.57064465,-1.939932475,3.808635
94,Cs2MgPtF6,Cs,Cs,Mg,Pt,F,6.107917665,6.175424378,-1.093150994,-2.583312835,1.145154
95,Cs2MgSnCl6,Cs,Cs,Mg,Sn,Cl,7.466906188,7.606702174,-1.837800177,-1.904696403,3.107214
96,Cs2MgSnF6,Cs,Cs,Mg,Sn,F,6.247924808,6.365546703,-1.847789365,-3.058528341,4.470501
97,Cs2MgSrBr6,Cs,Cs,Mg,Sr,Br,8.093473507,8.086047441,0.091838022,-2.014889316,3.92033
98,Cs2MnBaBr6,Cs,Cs,Mn,Ba,Br,7.731434835,8.284417754,-6.674976268,-1.803622008,2.292621
99,Cs2MnBaF6,Cs,Cs,Mn,Ba,F,6.721686351,6.68353424,0.570837369,-3.166414908,2.446298
100,Cs2MnCdCl6,Cs,Cs,Mn,Cd,Cl,6.93947524,7.401918948,-6.247619182,-1.683266452,1.14486
101,Cs2MnPtF6,Cs,Cs,Mn,Pt,F,6.232368459,6.279821838,-0.755648492,-2.251516484,0
102,Cs2MnRbCl6,Cs,Cs,Mn,Rb,Cl,7.941374838,7.819593903,1.557381835,-1.809724949,0.006046
103,Cs2MnRbF6,Cs,Cs,Mn,Rb,F,6.620499371,6.611497584,0.136153525,-2.908667684,0.011648
104,Cs2MnSrBr6,Cs,Cs,Mn,Sr,Br,7.53910179,8.084379602,-6.744831871,-1.804432114,2.360756
105,Cs2MnSrCl6,Cs,Cs,Mn,Sr,Cl,7.278886495,7.664645789,-5.032969619,-2.108907601,2.554224
106,Cs2MoAgF6,Cs,Cs,Mo,Ag,F,6.394437333,6.468963958,-1.15206431,-2.497798961,1.077306
107,Cs2NaFeF6,Cs,Cs,Na,Fe,F,6.210377438,6.272458996,-0.989748327,-2.842282346,1.705651
108,Cs2NaNbF6,Cs,Cs,Na,Nb,F,6.245732777,6.398435754,-2.386567325,-2.990971704,0
109,Cs2NaRuCl6,Cs,Cs,Na,Ru,Cl,7.483169644,7.395522781,1.185134109,-1.618338662,0.001404
110,Cs2NaSbCl6,Cs,Cs,Na,Sb,Cl,7.587821448,7.747238996,-2.057733705,-1.801720457,3.091084
111,Cs2NaScBr6,Cs,Cs,Na,Sc,Br,7.887634723,7.9702456,-1.036490983,-1.980255427,3.118642
112,Cs2NaScF6,Cs,Cs,Na,Sc,F,6.307958174,6.349547767,-0.655000868,-3.541592318,6.818488
113,Cs2NaTiF6,Cs,Cs,Na,Ti,F,6.261289126,6.29637141,-0.557182569,-3.271299511,0.000366
114,Cs2NbAgCl6,Cs,Cs,Nb,Ag,Cl,7.387003122,7.48455147,-1.303329243,-1.580770809,0.00359
115,Cs2NbAuCl6,Cs,Cs,Nb,Au,Cl,7.338919861,7.493351229,-2.060911911,-1.446909929,0
116,Cs2NiAgF6,Cs,Cs,Ni,Ag,F,6.300887106,6.199552704,1.634543762,-2.238364495,0
117,Cs2NiBaI6,Cs,Cs,Ni,Ba,I,8.885433102,8.715577898,1.948869094,-1.216897651,0.555803
118,Cs2NiCdF6,Cs,Cs,Ni,Cd,F,6.246510594,6.203867306,0.687366217,-2.473461519,0.994592
119,Cs2NiPbF6,Cs,Cs,Ni,Pb,F,6.342677117,6.414315955,-1.116858579,-2.53257079,1.200073
120,Cs2NiSnBr6,Cs,Cs,Ni,Sn,Br,7.782346523,7.804338113,-0.281786741,-1.251504253,0
121,Cs2NiSnCl6,Cs,Cs,Ni,Sn,Cl,7.404680791,7.439562186,-0.468863545,-1.502575864,0
122,Cs2NiSrCl6,Cs,Cs,Ni,Sr,Cl,7.522131228,7.519614117,0.033473938,-1.91533409,1.102285
123,Cs2PdBaBr6,Cs,Cs,Pd,Ba,Br,8.251865426,8.217948669,0.41271561,-1.582581413,0
124,Cs2PdCdCl6,Cs,Cs,Pd,Cd,Cl,7.055440752,7.362283958,-4.167771954,-1.449694478,0.042209
125,Cs2PdPbBr6,Cs,Cs,Pd,Pb,Br,7.92801052,7.959147951,-0.391215633,-1.27159541,0
126,Cs2PdPbF6,Cs,Cs,Pd,Pb,F,6.484098473,6.566187106,-1.250172005,-2.354303491,0
127,Cs2PdPbI6,Cs,Cs,Pd,Pb,I,8.33671824,8.498714289,-1.906124191,-0.940854537,0
128,Cs2PdSnBr6,Cs,Cs,Pd,Sn,Br,7.782346523,7.854139401,-0.914076951,-1.271875989,0.056759
129,Cs2PdSnI6,Cs,Cs,Pd,Sn,I,8.339546667,8.39819911,-0.698393099,-0.938477358,0
130,Cs2PtPbF6,Cs,Cs,Pt,Pb,F,6.421873076,6.643712658,-3.339090557,-2.248192802,0.56947
131,Cs2RbMoBr6,Cs,Cs,Rb,Mo,Br,8.402408459,8.322756888,0.957033493,-1.5024628,1.60521
132,Cs2RbNbCl6,Cs,Cs,Rb,Nb,Cl,8.026227652,7.970184832,0.703155839,-1.88590916,0.008896
133,Cs2RbNbF6,Cs,Cs,Rb,Nb,F,6.677067913,6.810675115,-1.96173213,-2.962950587,0.003864
134,Cs2RbRhBr6,Cs,Cs,Rb,Rh,Br,8.289483507,8.174105147,1.411510593,-1.429084622,1.567318
135,Cs2RbRhCl6,Cs,Cs,Rb,Rh,Cl,7.862178879,7.767195407,1.222879907,-1.683171792,1.853696
136,Cs2RbRhF6,Cs,Cs,Rb,Rh,F,6.677067913,6.645999991,0.467467981,-2.603196865,2.279132
137,Cs2RbRuCl6,Cs,Cs,Rb,Ru,Cl,8.094109903,7.782801003,3.999959653,-1.628901436,0.007824
138,Cs2RbRuF6,Cs,Cs,Rb,Ru,F,7.217297494,6.665022197,8.286173409,-2.595327888,0.001928
139,Cs2RhAgCl6,Cs,Cs,Rh,Ag,Cl,7.302150308,7.286698968,0.212048557,-1.369531679,0.635986
140,Cs2RhAuCl6,Cs,Cs,Rh,Au,Cl,7.27103761,7.249044659,0.303391026,-1.257005891,0.063834
141,Cs2RuAgCl6,Cs,Cs,Ru,Ag,Cl,7.429429529,7.310472804,1.627209733,-1.315162125,0
142,Cs2RuAgF6,Cs,Cs,Ru,Ag,F,6.747778592,6.384978201,5.682092868,-2.220376748,0
143,Cs2SbAuCl6,Cs,Cs,Sb,Au,Cl,7.4577138,7.645706821,-2.458804992,-1.402059701,0.402177
144,Cs2ScAgBr6,Cs,Cs,Sc,Ag,Br,7.777326065,7.879771033,-1.300100822,-1.699305547,2.800575
145,Cs2ScAgF6,Cs,Cs,Sc,Ag,F,6.405538909,6.455851233,-0.779329049,-3.155442722,3.624129
146,Cs2ScRbBr6,Cs,Cs,Sc,Rb,Br,8.458977002,8.408562933,0.599556302,-1.982230805,3.284823
147,Cs2SnBaF6,Cs,Cs,Sn,Ba,F,6.892806192,7.029013592,-1.937788257,-3.103295921,3.723254
148,Cs2SnPbCl6,Cs,Cs,Sn,Pb,Cl,8.029763186,8.03712546,-0.091603323,-1.694295057,1.578712
149,Cs2SrCdI6,Cs,Cs,Sr,Cd,I,7.988821703,8.841390164,-9.642923174,-1.377399719,1.789306
150,Cs2SrPbF6,Cs,Cs,Sr,Pb,F,6.810781806,6.883631047,-1.058296711,-3.177910944,4.869625
151,Cs2SrPdBr6,Cs,Cs,Sr,Pd,Br,7.99165013,8.03539794,-0.544438624,-1.57622425,0.002004
152,Cs2SrPdF6,Cs,Cs,Sr,Pd,F,6.474198978,6.543687985,-1.061924211,-2.775383646,0.0008
153,Cs2SrPtCl6,Cs,Cs,Sr,Pt,Cl,7.55890078,7.667374924,-1.414749443,-1.765959495,0.578868
154,Cs2TiAuCl6,Cs,Cs,Ti,Au,Cl,7.353061996,7.404349111,-0.692662032,-1.633285377,0
155,Cs2TiAuI6,Cs,Cs,Ti,Au,I,8.190276425,8.318109473,-1.536804107,-0.964997333,0
156,Cs2TiCdCl6,Cs,Cs,Ti,Cd,Cl,7.213832671,7.647268052,-5.66784606,-1.74780139,0
157,Cs2TiCoF6,Cs,Cs,Ti,Co,F,6.501069036,6.297358797,3.234852032,-2.537752379,0
158,Cs2TiPbF6,Cs,Cs,Ti,Pb,F,6.981901647,6.544313357,6.68654244,-2.866782498,0
159,Cs2TiSnCl6,Cs,Cs,Ti,Sn,Cl,7.738435192,7.606910075,1.729021583,-1.74631447,0.004884
160,Cs2TiSrBr6,Cs,Cs,Ti,Sr,Br,8.376316219,8.064898969,3.861390591,-1.859949331,0.016515
161,Cs2V_BaF6,Cs,Cs,V,Ba,F,7.213832671,6.6231676,8.918165849,-3.203966975,0.805005
162,Cs2V_RbCl6,Cs,Cs,V,Rb,Cl,8.012085516,7.820651154,2.447805921,-1.92242602,0.005156
163,Cs2V_RbF6,Cs,Cs,V,Rb,F,6.668582632,6.618936334,0.750064595,-3.087026668,0.002535
164,Cs2V_SnCl6,Cs,Cs,V,Sn,Cl,7.908140819,7.548101197,4.76993634,-1.681151118,0.680968
165,Cs2ZnBaF6,Cs,Cs,Zn,Ba,F,6.520868025,6.605498561,-1.28121345,-3.132768406,5.136151
166,Cs2ZnCdCl6,Cs,Cs,Zn,Cd,Cl,7.035641762,7.353428313,-4.321610784,-1.646459772,1.54736
167,Cs2ZnPbCl6,Cs,Cs,Zn,Pb,Cl,7.533444936,7.612143267,-1.033852468,-1.686968414,2.584866
168,Cs2ZnPdF6,Cs,Cs,Zn,Pd,F,6.164486208,6.165712194,-0.019883932,-2.318075764,0.007217
169,Cs2ZnPtF6,Cs,Cs,Zn,Pt,F,6.130545082,6.217104401,-1.39227707,-2.215668184,0.505599
170,CsBaAgCdF6,Cs,Ba,Ag,Cd,F,6.558344685,6.482798967,1.165325631,-2.640502985,1.466793
171,CsBaCaCuF6,Cs,Ba,Ca,Cu,F,6.261359837,6.283008023,-0.344551303,-3.152426664,0.856332
172,CsBaCoCuF6,Cs,Ba,Co,Cu,F,6.111453199,6.050212154,1.012213183,-2.564032372,0
173,CsBaCrAgF6,Cs,Ba,Cr,Ag,F,6.275501972,6.336657309,-0.965104061,-2.712557755,0
174,CsBaCrCuF6,Cs,Ba,Cr,Cu,F,6.131252189,6.123662314,0.123943395,-2.708206301,0.000428
175,CsBaCuCdF6,Cs,Ba,Cu,Cd,F,6.320756806,6.272845223,0.763793483,-2.661107075,0.081122
176,CsBaCuSnF6,Cs,Ba,Cu,Sn,F,6.34197001,6.426116,-1.309437769,-2.631325718,0.962199
177,CsBaCuSrF6,Cs,Ba,Cu,Sr,F,6.457935522,6.452197096,0.08893755,-3.06829078,0.366644
178,CsBaCuZnF6,Cs,Ba,Cu,Zn,F,6.100139491,6.090308904,0.161413602,-2.738386256,0.377247
179,CsBaFeCuF6,Cs,Ba,Fe,Cu,F,6.117110053,6.101280272,0.259450153,-2.610647306,0
180,CsBaLiFeF6,Cs,Ba,Li,Fe,F,5.964374989,5.964844911,-0.007878193,-3.046397478,0
181,CsBaLiPtF6,Cs,Ba,Li,Pt,F,5.989830833,6.082240049,-1.519328656,-2.683216884,1.12759
182,CsBaLiSnF6,Cs,Ba,Li,Sn,F,6.132666403,6.260412389,-2.040536279,-3.067481981,3.278692
183,CsBaLiTiF6,Cs,Ba,Li,Ti,F,6.309443098,5.991805915,5.301192787,-3.298908139,0
184,CsBaMgK_F6,Cs,Ba,Mg,K,F,6.368840067,6.31363044,0.874451356,-3.447237841,6.252057
185,CsBaMnAgF6,Cs,Ba,Mn,Ag,F,6.397124339,6.337371504,0.94286464,-2.750776069,0.701286
186,CsBaNaFeF6,Cs,Ba,Na,Fe,F,6.160950674,6.129281359,0.516688877,-3.018068822,0
187,CsBaNaPdF6,Cs,Ba,Na,Pd,F,6.231661352,6.225060927,0.106029886,-2.726876291,0.000582
188,CsBaNaV_F6,Cs,Ba,Na,V,F,6.73512138,6.127130461,9.922930854,-3.216410224,1.186016
189,CsBaNiCuF6,Cs,Ba,Ni,Cu,F,6.085997355,6.026092464,0.994091799,-2.590126163,0.392356
190,CsBaPdAgF6,Cs,Ba,Pd,Ag,F,6.343384223,6.354382144,-0.173076166,-2.362125901,0
191,CsK_AgAuCl6,Cs,K,Ag,Au,Cl,7.296493454,7.30849668,-0.164236594,-1.218424758,0.02167
192,CsK_AgInF6,Cs,K,Ag,In,F,6.351798794,6.450715379,-1.533420391,-2.551140677,1.871779
193,CsK_AgSbCl6,Cs,K,Ag,Sb,Cl,7.485998071,7.615014463,-1.694236992,-1.469606631,1.462967
194,CsK_AgSbF6,Cs,K,Ag,Sb,F,6.443722676,6.590148698,-2.221892536,-2.46300526,2.240044
195,CsK_AlAgCl6,Cs,K,Al,Ag,Cl,7.177699514,7.25469608,-1.061334137,-1.705545124,2.206459
196,CsK_AsRbF6,Cs,K,As,Rb,F,6.643126788,6.71364908,-1.050431608,-2.716325048,4.283296
197,CsK_BaPtF6,Cs,K,Ba,Pt,F,6.560466005,6.76643173,-3.043934133,-2.605972249,1.251566
198,CsK_BeBaCl6,Cs,K,Be,Ba,Cl,6.974830579,7.525597566,-7.318581444,-2.023664088,4.617655
199,CsK_BeBaF6,Cs,K,Be,Ba,F,6.211155255,6.219265901,-0.130411629,-3.267893582,6.189443
200,CsK_BeSnF6,Cs,K,Be,Sn,F,6.003265862,6.037636246,-0.569268876,-2.826488669,4.278805
201,CsK_BeSrCl6,Cs,K,Be,Sr,Cl,6.85603664,7.329894509,-6.464729723,-2.036901187,4.759581
202,CsK_BeSrF6,Cs,K,Be,Sr,F,6.065491258,6.035453208,0.497693362,-3.316243547,6.620002
203,CsK_CaCdCl6,Cs,K,Ca,Cd,Cl,7.202518962,7.58396947,-5.029694667,-2.043366533,3.843512
204,CsK_CaCdF6,Cs,K,Ca,Cd,F,6.416216222,6.390177771,0.40747616,-3.152099959,5.047755
205,CsK_CaCoF6,Cs,K,Ca,Co,F,6.147515645,6.153697144,-0.100451791,-2.997701179,0
206,CsK_CaCrF6,Cs,K,Ca,Cr,F,6.172971489,6.220593218,-0.76554964,-3.14798783,0.005113
207,CsK_CaCuF6,Cs,K,Ca,Cu,F,6.107917665,6.151771151,-0.712859515,-2.917634062,0.001986
208,CsK_CaFeF6,Cs,K,Ca,Fe,F,6.156000926,6.194236,-0.617268603,-3.065559842,0.003976
209,CsK_CaMnCl6,Cs,K,Ca,Mn,Cl,7.092210305,7.438110243,-4.650373908,-2.062555205,2.542229
210,CsK_CaPdF6,Cs,K,Ca,Pd,F,6.24085374,6.305820851,-1.03027207,-2.781294343,0.01567
211,CsK_CaSnCl6,Cs,K,Ca,Sn,Cl,7.806317443,7.830600503,-0.310104697,-2.022424467,3.644201
212,CsK_CaSnF6,Cs,K,Ca,Sn,F,6.440257852,6.575113602,-2.051002586,-3.152525067,4.167777
213,CsK_CaSrF6,Cs,K,Ca,Sr,F,6.553394937,6.587029223,-0.510613888,-3.634193595,6.081699
214,CsK_CaTiCl6,Cs,K,Ca,Ti,Cl,7.694665282,7.422212251,3.670779301,-2.1308588,0.010518
215,CsK_CdPbCl6,Cs,K,Cd,Pb,Cl,7.377881444,7.776902654,-5.130850002,-1.651181616,2.572396
216,CsK_CdPtF6,Cs,K,Cd,Pt,F,6.24085374,6.359301386,-1.862588967,-2.177624057,0.378672
217,CsK_CdSnCl6,Cs,K,Cd,Sn,Cl,7.234975164,7.708727294,-6.145659483,-1.622794071,1.870463
218,CsK_CoAgCl6,Cs,K,Co,Ag,Cl,7.19184165,7.097495599,1.329286502,-1.304847668,0.499387
219,CsK_CoAuCl6,Cs,K,Co,Au,Cl,7.146586816,7.075287111,1.007728787,-1.200701665,0
220,CsK_CoBaCl6,Cs,K,Co,Ba,Cl,7.749819611,7.698465247,0.667072752,-1.845624878,0.007913
221,CsK_CoPbCl6,Cs,K,Co,Pb,Cl,7.540516004,7.497979662,0.567304046,-1.471355523,0
222,CsK_CoPbF6,Cs,K,Co,Pb,F,6.328534981,6.37891694,-0.789819956,-2.508242917,0.003473
223,CsK_CoPtF6,Cs,K,Co,Pt,F,6.025893279,6.091930406,-1.084009872,-2.058750545,0
224,CsK_CoRbF6,Cs,K,Co,Rb,F,6.541303411,6.522603743,0.286690235,-2.609235102,0
225,CsK_CoSnF6,Cs,K,Co,Sn,F,6.222468964,6.313991454,-1.44951875,-2.487983174,0.002749
226,CsK_CoSrCl6,Cs,K,Co,Sr,Cl,7.51506016,7.494545596,0.273726589,-1.861670033,0.000342
227,CsK_CoSrF6,Cs,K,Co,Sr,F,6.315807059,6.327256977,-0.180961798,-2.965359861,0
228,CsK_CrAgCl6,Cs,K,Cr,Ag,Cl,7.214469067,7.237180735,-0.313819273,-1.546260809,0.744496
229,CsK_CrAuCl6,Cs,K,Cr,Au,Cl,7.166385806,7.225747082,-0.821524409,-1.423719825,0.302345
230,CsK_CrBaCl6,Cs,K,Cr,Ba,Cl,7.827601357,7.782910595,0.574216567,-1.979563657,0
231,CsK_CrCdF6,Cs,K,Cr,Cd,F,6.232368459,6.245461371,-0.209638828,-2.661205665,0
232,CsK_CrCoF6,Cs,K,Cr,Co,F,6.020236424,5.961237,0.989717805,-2.521381921,0
233,CsK_CrFeCl6,Cs,K,Cr,Fe,Cl,7.092210305,7.07340879,0.265805576,-1.46759118,0
234,CsK_CrMnCl6,Cs,K,Cr,Mn,Cl,6.902705687,7.164665741,-3.656277396,-1.611989277,0.037125
235,CsK_CrMnF6,Cs,K,Cr,Mn,F,6.130545082,6.072684779,0.952796088,-2.708514451,0.000591
236,CsK_CrSnCl6,Cs,K,Cr,Sn,Cl,7.444278771,7.496597108,-0.697894475,-1.594955209,0
237,CsK_CrSnF6,Cs,K,Cr,Sn,F,6.250753235,6.373753464,-1.929792699,-2.65442212,0.014843
238,CsK_CrSrCl6,Cs,K,Cr,Sr,Cl,7.587185051,7.576765814,0.137515627,-1.995673683,0
239,CsK_CrZnF6,Cs,K,Cr,Zn,F,6.008922716,6.006562423,0.039295238,-2.670827397,0.004289
240,CsK_CuAuCl6,Cs,K,Cu,Au,Cl,7.166385806,7.130230148,0.50707561,-1.235252889,0.022148
241,CsK_CuGaF6,Cs,K,Cu,Ga,F,6.023701248,6.052280247,-0.472202176,-2.573838032,0.372538
242,CsK_CuInCl6,Cs,K,Cu,In,Cl,6.979709616,7.25963763,-3.855950231,-1.519813314,0.110098
243,CsK_CuNbF6,Cs,K,Cu,Nb,F,6.134009905,6.228926347,-1.523801001,-2.535319784,0
244,CsK_CuPtF6,Cs,K,Cu,Pt,F,5.997609007,6.086611014,-1.46225883,-2.066676836,0
245,CsK_CuRbCl6,Cs,K,Cu,Rb,Cl,7.853693597,7.702275424,1.96588884,-1.458493425,0
246,CsK_CuSbF6,Cs,K,Cu,Sb,F,6.271188621,6.347075947,-1.195626563,-2.436137994,1.042192
247,CsK_CuSnCl6,Cs,K,Cu,Sn,Cl,7.339626967,7.346068039,-0.087680538,-1.499464509,0.088427
248,CsK_CuSnF6,Cs,K,Cu,Sn,F,6.17721413,6.267148711,-1.435015908,-2.484129469,0.14455
249,CsK_CuSrCl6,Cs,K,Cu,Sr,Cl,7.474047966,7.502798257,-0.383194243,-1.829651748,0.042452
250,CsK_CuSrF6,Cs,K,Cu,Sr,F,6.267723798,6.323386141,-0.880261647,-2.887484993,0.001547
251,CsK_FeAuCl6,Cs,K,Fe,Au,Cl,7.17204266,7.239484724,-0.931586523,-1.285714592,0
252,CsK_FeBaCl6,Cs,K,Fe,Ba,Cl,7.788003377,7.751365355,0.472665399,-1.902033253,0
253,CsK_FeCdCl6,Cs,K,Fe,Cd,Cl,6.953617376,7.280752242,-4.49314652,-1.499450466,0.001284
254,CsK_FeNiF6,Cs,K,Fe,Ni,F,5.980638445,5.963358247,0.289772931,-2.38943438,0
255,CsK_FePbF6,Cs,K,Fe,Pb,F,6.339848689,6.423093535,-1.296024191,-2.574734925,0
256,CsK_FeRbCl6,Cs,K,Fe,Rb,Cl,7.87066416,7.798324081,0.927636223,-1.668983139,0.877584
257,CsK_FeSnCl6,Cs,K,Fe,Sn,Cl,7.410337645,7.484074469,-0.985249737,-1.498055971,0
258,CsK_FeSnF6,Cs,K,Fe,Sn,F,6.230954245,6.359378086,-2.019440254,-2.553514888,0
259,CsK_FeSrCl6,Cs,K,Fe,Sr,Cl,7.550415499,7.544269787,0.081461986,-1.919271805,0.004808
260,CsK_FeSrF6,Cs,K,Fe,Sr,F,6.327120767,6.371214639,-0.692079525,-3.031565036,0.005746
261,CsK_GaAgF6,Cs,K,Ga,Ag,F,6.207549011,6.243757493,-0.579914932,-2.61857385,2.441425
262,CsK_GaRbF6,Cs,K,Ga,Rb,F,6.541303411,6.515270858,0.399562099,-2.976151909,5.715896
263,CsK_LiAsF6,Cs,K,Li,As,F,5.856824047,6.082913352,-3.716793121,-2.753473515,4.587364
264,CsK_LiAuCl6,Cs,K,Li,Au,Cl,7.157900525,7.244866294,-1.200377833,-1.407610194,0.021062
265,CsK_LiBiBr6,Cs,K,Li,Bi,Br,7.750456007,7.960103518,-2.63372845,-1.5055975,2.93814
266,CsK_LiBiCl6,Cs,K,Li,Bi,Cl,7.429429529,7.532571044,-1.36927371,-1.777636135,3.635691
267,CsK_LiCrF6,Cs,K,Li,Cr,F,5.818640281,5.945145871,-2.127880337,-3.013233495,1.85144
268,CsK_LiFeF6,Cs,K,Li,Fe,F,5.838439271,5.971336411,-2.22558454,-2.82019728,1.61206
269,CsK_LiInF6,Cs,K,Li,In,F,5.944505288,6.105113813,-2.630721227,-2.941796931,5.180989
270,CsK_LiRhF6,Cs,K,Li,Rh,F,5.865309329,5.98318554,-1.970124614,-2.591210651,1.988681
271,CsK_MgBaF6,Cs,K,Mg,Ba,F,6.436015212,6.489595781,-0.825638003,-3.480199405,5.992259
272,CsK_MgPbF6,Cs,K,Mg,Pb,F,6.26065273,6.342912454,-1.296876231,-3.075451404,5.215699
273,CsK_MgPdF6,Cs,K,Mg,Pd,F,6.023064851,6.041746029,-0.309201643,-2.673560131,0.001926
274,CsK_MgSnF6,Cs,K,Mg,Sn,F,6.163071994,6.285228935,-1.943555951,-3.050235089,4.333162
275,CsK_MnAgF6,Cs,K,Mn,Ag,F,6.235833282,6.220323576,0.249339215,-2.548932111,0
276,CsK_MnBaF6,Cs,K,Mn,Ba,F,6.704715789,6.634886014,1.052463823,-3.130231615,1.913515
277,CsK_MnCdF6,Cs,K,Mn,Cd,F,6.356819252,6.234558732,1.961013205,-2.707551446,1.165084
278,CsK_MnCoF6,Cs,K,Mn,Co,F,6.105089238,6.015855081,1.483316267,-2.53582635,0
279,CsK_MnPbCl6,Cs,K,Mn,Pb,Cl,7.247773796,7.622806955,-4.919882679,-1.671901205,1.843641
280,CsK_MnPbF6,Cs,K,Mn,Pb,F,6.503897463,6.473093938,0.475870199,-2.735443244,2.266682
281,CsK_MnSrCl6,Cs,K,Mn,Sr,Cl,7.225146379,7.617867947,-5.15526878,-2.064012205,2.509015
282,CsK_MnSrF6,Cs,K,Mn,Sr,F,6.491169541,6.42402092,1.045274009,-3.18997672,2.356838
283,CsK_MnZnF6,Cs,K,Mn,Zn,F,6.088118675,6.029409715,0.973709912,-2.735673585,1.987321
284,CsK_NaAsF6,Cs,K,Na,As,F,6.189164234,6.268334999,-1.263027024,-2.765661798,4.562829
285,CsK_NaCoCl6,Cs,K,Na,Co,Cl,7.237096484,7.204219994,0.456350445,-1.588678605,1.050358
286,CsK_NaCrCl6,Cs,K,Na,Cr,Cl,7.265380755,7.304430627,-0.534605283,-1.843644547,1.281854
287,CsK_NaCrF6,Cs,K,Na,Cr,F,6.148152041,6.100862963,0.775121131,-3.035972974,1.914768
288,CsK_NaInF6,Cs,K,Na,In,F,6.251389631,6.296459344,-0.715794553,-2.95242355,5.242238
289,CsK_NaMnCl6,Cs,K,Na,Mn,Cl,7.321949298,7.331686418,-0.132808735,-1.775992875,0
290,CsK_NaNbCl6,Cs,K,Na,Nb,Cl,7.384174695,7.458387784,-0.995028566,-1.849740479,0.009317
291,CsK_NaRuF6,Cs,K,Na,Ru,F,6.573830323,6.163618171,6.655379042,-2.603029591,0.000544
292,CsK_NaSbCl6,Cs,K,Na,Sb,Cl,7.559537176,7.686055132,-1.646071409,-1.753856077,3.094842
293,CsK_NbAgF6,Cs,K,Nb,Ag,F,6.278259689,6.456296242,-2.757564807,-2.56593111,0
294,CsK_NiBaCl6,Cs,K,Ni,Ba,Cl,7.731434835,7.663855637,0.881791114,-1.863396556,1.101712
