correct_formula,lat_bvm,lat_opt,hf_opt,lat_err
K_2AgSbF6,6.375840425,6.516378527,-2.435090769,-2.156690279
RbK_TiZnF6,6.410559368,5.959914564,-2.852503624,7.561262805
Cs2CuBaF6,6.492583754,6.580858225,-2.863492775,-1.34138235
CsK_CaNiCl6,7.329798183,7.295100463,-1.870277592,0.475630466
Cs2GaAgBr6,7.627631559,7.764891683,-1.284157426,-1.767701713
RbK_AsCsF6,6.863744104,6.862887219,-2.662283619,0.01248578
Cs2PdCdBr6,7.335455037,7.753118756,-1.236419415,-5.387041422
CsRbCoPbF6,6.345505544,6.402132426,-2.519983985,-0.884500331
RbBaLiTiF6,6.281158827,5.898529557,-3.330153575,6.486858556
Cs2CaBaCl6,8.2179243,8.12933034,-2.494050733,1.08980637
Rb2TiBaF6,7.196862108,6.607014478,-3.239590297,8.92759706
Cs2CdPtCl6,7.055440752,7.385848208,-1.377490468,-4.473520801
Rb2K_CoF6,6.317857669,6.350235432,-2.641692181,-0.509867132
CsK_TiCrCl6,7.343940319,7.202761986,-1.698720902,1.960058276
Rb2TiCdCl6,7.114837722,7.373295085,-1.709652569,-3.505316966
Cs2TiSnBr6,8.133071487,8.005491702,-1.462336486,1.593653327
K_2CoZnF6,5.776991692,5.826508343,-2.544015931,-0.849851201
Cs2NaScCl6,7.599135156,7.54842834,-2.307638619,0.671753299
CsRbK_NbF6,6.470592733,6.623607879,-2.965078421,-2.310148018
RbK_MnPbCl6,7.208175817,7.593083584,-1.64863436,-5.069189123
Rb2CuPbCl6,7.488190102,7.430569596,-1.486486316,0.775452071
Cs2MgCrF6,6.105089238,6.070954075,-3.004673735,0.562270157
Rb2MgPtF6,5.909927766,6.056081618,-2.607468215,-2.413340188
CsRbNiCdCl6,6.970587938,7.233963796,-1.466089597,-3.640823551
K_2CuBiF6,6.26694598,6.33527073,-2.433841889,-1.07848192
CsK_NaCuF6,6.053399732,6.098892393,-2.464418726,-0.745916756
Rb2MgSnF6,6.114988733,6.256638609,-3.061623232,-2.263993247
Cs2MgTiF6,6.436015212,6.078972933,-3.180298733,5.873398066
Cs2V_AgBr6,7.723798082,7.729191909,-1.329547876,-0.069785136
RbK_MgPdF6,5.898614058,5.969056974,-2.695970946,-1.180134759
CsRbBeSrF6,6.096603957,6.069687592,-3.316973868,0.44345552
CsRbNiPbF6,6.30025071,6.369667866,-2.527703394,-1.089808107
Cs2NaBiF6,6.491805937,6.602657069,-2.895711977,-1.678886719
CsRbMnAuCl6,7.239924911,7.254865813,-1.432274653,-0.205943187
CsRbTiAuCl6,7.302150308,7.363965626,-1.615127216,-0.839429747
CsRbV_FeCl6,7.468391112,7.104242005,-1.528318153,5.125798173
CsRbZnPbF6,6.322878127,6.421349214,-2.712698235,-1.533495287
K_2MnPbF6,6.46712791,6.405571853,-2.715511547,0.960976767
Cs2AuBiCl6,7.587821448,7.727340845,-1.430309623,-1.805529233
CsRbAlK_F6,6.307958174,6.309575879,-3.390624627,-0.025638896
RbK_FeSrCl6,7.533444936,7.509859892,-1.898513347,0.31405438
Rb2FeCuF6,5.901442485,5.977304045,-2.455808601,-1.269160134
RbK_TiCrCl6,7.31282762,7.156010453,-1.68929668,2.191404957
CsRbCaTiF6,6.727343206,6.260670969,-3.333457527,7.454029105
CsRbScAgCl6,7.508625488,7.456579681,-1.980315835,0.697984992
RbK_ZnSrCl6,7.465562685,7.522195712,-2.015709395,-0.752878937
CsK_MgCaCl6,7.400508861,7.418463315,-2.294727353,-0.242023889
Rb2CaTiF6,6.71320107,6.207344861,-3.336780812,8.149316989
Rb2CuCsF6,6.691210049,6.609826587,-2.404198833,1.23124958
CsBaLiMgF6,5.916291728,5.91911679,-3.545098485,-0.047727776
CsK_TiMnF6,6.6538041,6.07969013,-2.888833944,9.443145255
CsK_TiAgCl6,7.344576715,7.335713773,-1.729446626,0.120819073
CsRbNaBiBr6,8.137950523,8.206198185,-1.545368098,-0.831659929
K_BaLiMnF6,5.842752622,5.857209938,-3.234263802,-0.2468294
K_BaCaCuF6,6.151051179,6.194943007,-3.148261228,-0.708510606
