correct_formula,lat_bvm,lat_opt,hf_opt,lat_err
RbK_CoCdCl6,6.827752368,7.191408357,-1.429400592,-5.056811834
CsK_CrSrF6,6.349748184,6.398207947,-3.114009616,-0.757395874
CsK_NaBiF6,6.42958054,6.513201801,-2.867566935,-1.283873333
RbK_V_CdF6,6.812196019,6.140087125,-2.74007518,10.94624361
Cs2TiRbCl6,8.051683496,7.880787234,-2.069190205,2.168517647
CsRbCdBaCl6,7.581528197,7.996988946,-2.051475538,-5.195214744
Cs2NaInCl6,7.511453915,7.606795146,-1.883477096,-1.253369238
K_2NaScF6,6.061885014,6.082529058,-3.533650087,-0.339399027
K_2CuSnF6,6.069733899,6.175478477,-2.487100202,-1.712330124
CsK_LiCuF6,5.763485952,5.935904737,-2.448536276,-2.904675741
RbK_CoAgF6,6.088755071,6.107826923,-2.279115921,-0.312252648
Rb2MnZnF6,6.028721706,5.993183102,-2.756867945,0.592983783
CsK_CaV_F6,6.735828487,6.191179447,-3.261297757,8.797177411
CsRbNaCrF6,6.15946575,6.149796992,-3.040765906,0.157220756
CsRbK_CoF6,6.377254638,6.414843061,-2.651438647,-0.585960134
CsRbAgInBr6,7.870876292,7.897326136,-1.306878532,-0.334921514
Rb2CoBaF6,6.495412181,6.51344757,-2.909957097,-0.276894671
Rb2K_InF6,6.529989703,6.574124863,-2.930558803,-0.671346552
RbK_MnZnF6,5.986295299,5.956377965,-2.760920704,0.502273937
CsK_PdBaF6,6.639661965,6.696120656,-2.69152874,-0.843155225
CsK_CaCrCl6,7.414650997,7.401397182,-1.992568212,0.17907179
RbK_CuZnF6,5.813761244,5.858419887,-2.47758354,-0.762298434
RbK_AgAuCl6,7.237096484,7.269355763,-1.204759678,-0.443770812
Cs2NaRhF6,6.245732777,6.282408252,-2.614898033,-0.583780514
CsRbK_V_Cl6,7.82682354,7.639295971,-1.908200077,2.454775542
Cs2SrPtBr6,7.99165013,8.067227697,-1.511810113,-0.936846825
CsRbK_SbF6,6.669996846,6.775185684,-2.849009405,-1.552560225
CsBaMnCuF6,6.21893343,6.14814981,-2.755748035,1.151299537
K_BaNaV_F6,6.729464526,6.013285297,-3.23374482,11.90994929
CsRbCuBiBr6,7.416701607,7.8760504,-1.257195287,-5.832222624
Cs2FeAuCl6,7.276694464,7.312861189,-1.31639321,-0.49456326
CsK_NaMnF6,6.152394682,6.124008132,-2.918655955,0.463528934
CsRbAgBiBr6,7.996529167,8.090551786,-1.286307889,-1.162128637
Cs2FePbF6,6.393588805,6.486888594,-2.596077453,-1.438282591
Cs2CuNbF6,6.173607885,6.328774487,-2.546373588,-2.451763797
K_2AgInF6,6.255632272,6.370465895,-2.528581073,-1.802593804
Rb2BeBaCl6,6.940889453,7.510635446,-2.022264161,-7.585856035
RbK_MnPtF6,6.048520696,6.137458067,-2.25521048,-1.44909131
Cs2MnPbF6,6.537838588,6.53393919,-2.759921442,0.059679135
K_2SrPtF6,6.301664923,6.497159106,-2.634927235,-3.008917887
CsK_MgSrF6,6.250753235,6.286869665,-3.538106024,-0.574473979
Cs2K_RhCl6,7.691059038,7.641294508,-1.689319641,0.651257843
K_2MnZnF6,5.938212038,5.917331782,-2.766992332,0.352866064
RbBaCrCuF6,6.015286677,6.058527546,-2.722772378,-0.713719118
CsRbCdSnBr6,7.442935268,8.120449051,-1.394103872,-8.343304394
Cs2AgInCl6,7.454885373,7.5383386,-1.584631885,-1.107050661
Cs2CoAgCl6,7.285179745,7.186390416,-1.325168445,1.37467245
RbK_ZnPbCl6,7.493846956,7.53409382,-1.622175948,-0.534196476
K_2TiAgF6,6.166536817,6.21649138,-2.852282493,-0.803581299
Cs2BaPtF6,6.588750276,6.804181216,-2.649400866,-3.166155228
RbK_CaCuF6,6.011751143,6.085662416,-2.930171976,-1.21451484
Rb2ZnPtF6,5.941040465,6.111310111,-2.231410459,-2.786139843
CsRbCuMoF6,6.187962153,6.207005699,-2.447279957,-0.30680729
