Compound,pbe_gap,hse06_gap
Cs2CuBiBr6,0.741862,1.5946
CsRbMgCdF6,4.836785,6.9565
K_2PdPbF6,0.0,0.4596
CsK_AsRbF6,4.283296,5.3725000000000005
Cs2CuBiF6,1.171735,2.7423999999999995
RbK_NaGaF6,5.882725,8.062899999999999
CsK_CuBiBr6,0.740773,1.6105999999999998
K_2ZnPdF6,0.0,0.4689
CsRbCuSnCl6,0.08733,0.0
Cs2CaCdCl6,3.770915,5.1264
Cs2CaPbCl6,4.364863,5.2139
Cs2K_AsCl6,3.448708,4.1236999999999995
Cs2MgBaBr6,3.988202,5.0581000000000005
CsRbMgPbCl6,3.818644,4.7246
Rb2AlCsF6,5.856559,7.7376000000000005
RbK_RhAuCl6,0.166715,0.8875
Cs2InAuCl6,0.113593,0.6889000000000001
CsRbPdPbCl6,0.030681,0.0
RbK_MgCaCl6,4.940131,6.2036
CsK_SnPbF6,2.307104,3.2703000000000007
Cs2NaInF6,5.284675,7.3355999999999995
Cs2K_AuCl6,0.009724,0.1444
CsRbLiBiF6,4.975511,6.2962
Rb2MgCaF6,6.791638,8.922799999999999
RbK_ZnSrF6,4.953028,7.0713
CsRbSrPdCl6,0.0,0.0
CsK_RbInF6,5.159668,7.0855
K_BaLiCuF6,0.0,0.0
Cs2SrPdI6,0.042659,0.0
Cs2RbRhBr6,1.567318,2.8958
RbBaNaPdF6,0.000751,3.7313
CsRbMgZnF6,5.256497,7.3182
CsRbCuSbF6,1.096032,2.6347000000000005
Cs2MgCdF6,4.734775,6.8225999999999996
CsRbMgBaCl6,4.748889,5.9932
Cs2NaAuF6,0.000984,0.5373
Cs2PdPbI6,0.0,0.0
CsK_PdPbF6,0.0,0.0
CsRbCuRhF6,0.67622,1.3774
CsRbZnPbBr6,1.835192,2.5137
RbBaLiZnF6,5.570477,7.8977
CsRbK_CuCl6,0.014625,0.0
CsRbZnBaCl6,4.2381,5.5738
K_BaMgCuF6,0.962282,3.1655
K_BaNaZnF6,5.15212,7.3194
Cs2NaBiBr6,3.076348,3.8801
RbK_NaCuF6,0.0,0.15579999999999994
Rb2K_AsF6,4.576784,5.7883
Rb2ZnSnCl6,1.802159,2.5538
CsRbLiBiBr6,2.93656,3.3511
Cs2CuCdF6,0.029082,0.39990000000000003
CsRbPdCdCl6,0.043476,0.0
K_2RhAgF6,1.531457,3.4737999999999998
Ba2LiNaF6,6.316686,8.2197
CsRbNaGaCl6,2.695073,4.002000000000001
CsK_AgSbCl6,1.462967,2.0789
Rb2AgSbCl6,1.453661,2.1546
CsRbNaAuBr6,0.0,0.0
CsRbSbAuCl6,0.385967,0.9421000000000002
CsK_CaPbF6,4.992087,6.2459999999999996
CsK_LiBiCl6,3.635691,4.3853
Cs2CdSnBr6,1.295923,1.8555000000000001
RbK_AlAuCl6,0.520821,1.7749000000000001
CsK_NaBiF6,4.965864,6.2200999999999995
RbK_CuCdF6,0.031682,0.0
CsK_CuRbCl6,0.0,0.0
RbK_MgSnCl6,3.092421,3.7283999999999997
RbK_MgPbF6,5.084225,6.3304
Cs2K_SbF6,4.202038,5.4203
CsRbCdBaCl6,4.135748,5.3953
Cs2NaInCl6,2.957278,4.255
K_2CuSnF6,0.155076,0.0
CsK_BeSnF6,4.278805,5.473
CsK_LiCuF6,0.0,0.2144999999999999
Rb2NaSbF6,4.150927,5.2462
Cs2CdSnF6,2.82226,3.9511000000000003
Rb2AlK_Cl6,4.501717,5.6682
K_2NaInF6,5.229267,7.2848
CsRbAgInBr6,0.196481,1.3361
Rb2K_InF6,5.304043,7.2667
CsK_PdBaF6,0.0,0.0
RbK_CuZnF6,0.0,0.0
CsK_CaPdF6,0.01567,0.15190000000000003
RbBaMgCuF6,1.058914,3.2685999999999997
Rb2ZnSrF6,5.072615,7.1127
RbK_AgAuCl6,0.02315,0.0
Cs2NaRhF6,2.042375,4.0805
Cs2ZnCdCl6,1.54736,2.8925
CsK_GaRbF6,5.715896,7.6309000000000005
CsRbSrSnCl6,3.610612,4.3021
Cs2MgCaCl6,5.136898,6.448
CsRbK_SbF6,4.147917,5.1671
RbK_NaRhCl6,1.419554,3.0141
CsRbGaAgF6,2.521143,4.4935
CsK_MgSnF6,4.333162,5.4086
Rb2PdSnF6,0.0,0.0
CsRbK_BiF6,4.893363,6.1917
CsBaCaCuF6,0.856332,2.8065999999999995
Cs2CuBiCl6,1.015185,2.1088999999999998
Cs2ZnPdF6,0.007217,0.5387
Cs2RbRhF6,2.279132,4.297000000000001
RbBaCuSrF6,0.131285,1.9737999999999998
K_2AgInF6,1.589238,3.292
Cs2NaSbCl6,3.091084,3.8316
Rb2CuAgF6,0.0,0.0
CsRbCuSrF6,0.001547,0.0
RbBaCaCuF6,0.622178,3.0965
Rb2BeBaCl6,4.621304,5.8122
Rb2NaAlF6,6.81379,9.0504
Cs2SnPbCl6,1.578712,2.1388
