compound,OQMD_id,OQMD_hf,DFT_hf,hf_partial_cor,hf_full_cor,error
SnLiF3,1713549,-2.67178938,-2.461219982,-2.625819982,-2.644019982,0.027769398
InRhCl3,1728507,-0.72103407,-0.476426094,-0.689426094,-0.693226094,0.027807976
CuMnF3,1714545,-1.76400458,-1.575322886,-1.717522886,-1.736122886,0.027881694
RbTiF3,1706438,-3.01812214,-2.825091242,-2.980091242,-2.990091242,0.028030898
RbHgI3,1709289,-0.79833711,-0.682354818,-0.765754818,-0.769954818,0.028382292
RbHgBr3,1709211,-1.13005848,-0.936329826,-1.094129826,-1.101329826,0.028728654
KMgF3,5646,-3.53545417,-3.324894354,-3.467094354,-3.505694354,0.029759816
NaCdCl3,1725941,-1.4577038,-1.19408168,-1.42528168,-1.42788168,0.02982212
InCoBr3,1728485,-0.51864095,-0.3001836,-0.4735836,-0.4885836,0.03005735
KSnBr3,1711893,-1.35012693,-1.12030145,-1.31610145,-1.31990145,0.03022548
RbSnBr3,1383319,-1.39499112,-1.169615718,-1.365415718,-1.363615718,0.031375402
NaCaF3,1713234,-3.50677647,-3.280410032,-3.440810032,-3.475210032,0.031566438
KAgBr3,1428408,-1.05288754,-0.852412669,-1.025812669,-1.021212669,0.031674871
CsPtF3,1709201,-1.82560815,-1.659060962,-1.801260962,-1.793860962,0.031747188
NaNdF3,1711859,-3.24210543,-3.041696376,-3.202096376,-3.210096376,0.032009054
KSnI3,1711865,-0.96835189,-0.813964722,-0.935364722,-0.936164722,0.032187168
InSrF3,1713552,-3.09641121,-2.881399846,-3.023599846,-3.064199846,0.032211364
NaTiF3,1706393,-2.9135323,-2.711178288,-2.884378288,-2.881178288,0.032354012
CsZnF3,1347968,-2.71307608,-2.50264907,-2.64484907,-2.68044907,0.03262701
RbAgBr3,1431758,-1.08314886,-0.887110054,-1.060510054,-1.050310054,0.032838806
CsFeCl3,1709267,-1.41201271,-1.19041073,-1.40341073,-1.37901073,0.03300198
RbSnI3,1706480,-1.01484446,-0.864887724,-0.986287724,-0.981487724,0.033356736
AgMnCl3,1722759,-0.81002212,-0.562314092,-0.775314092,-0.775714092,0.034308028
InDyCl3,1728503,-1.6509225,-1.401211824,-1.614211824,-1.616411824,0.034510676
NaTmF3,1706394,-3.32977137,-3.135165074,-3.295565074,-3.295165074,0.034606296
LiCdF3,1713244,-2.3541202,-2.141704536,-2.283904536,-2.318504536,0.035615664
