,Id,Compound,correct_formula,pet,a,den,acn,density,packing,bader_act,bader_pd,ddec6_act,ddec6_pd,ddec6_dipole,ionicity,s,p,d,f,Hf,Hd,bg_pbe,bg_oneshot,bg_hse
0,1711925,CaAgF3,AgCaF3,0.7553398058252426,4.422321903333585,0.05781212148057407,4.8,3.9348458085861275,0.2774981831067555,0.4658034000000002,0.0006682793688814979,0.4279457,0.0005079043580928277,0.00011325481788634232,0.8091121728111723,0.41500000000000004,-0.342,-0.57,0.0,-2.80338359,0.19326538,2.350571,4.628586,4.4608620000000005
1,1722750,CdAgCl3,AgCdCl3,0.8640776699029127,5.181395880358739,0.03594423905672332,4.8,3.8991986437063773,0.17253234747227195,0.36280550000000006,0.004707175400378512,0.34185580000000004,0.004302556494321576,0.000221006276746007,0.51394488296111,0.43200000000000005,-0.633,-0.15100000000000002,0.0,-0.75658198,0.30420072,1.4446160000000001,2.864273,2.813447
2,1709249,CdAgF3,AgCdF3,0.8699029126213592,4.415415913834156,0.05808381600267511,4.8,5.348648072414427,0.2788023168128405,0.47053659999999997,0.0010043451756853493,0.38213340000000007,0.004329663284785894,0.0003227974366708472,0.6284037949525497,0.43300000000000005,-0.61,-0.31,0.0,-1.77538037,0.16650147,1.060241,3.194832,2.9626259999999998
3,1722751,CoAgCl3,AgCoCl3,0.854368932038835,4.736161840659423,0.04706417118885434,4.8,4.269600495971232,0.22590802170650082,0.33374930000000014,0.004146675491907726,0.3015697,0.006491870551754093,0.00019526670741908223,0.3546025194883252,0.0,0.001999999999999999,-0.003999999999999948,0.0,-0.45203581,0.29373151,0.00370999999999988,1.4283590000000004,0.0032839999999998426
4,1706441,CoAgF3,AgCoF3,0.8601941747572815,4.0439133592469805,0.07560744116593926,4.8,5.6194928959395645,0.3629157175965084,0.46894659999999994,0.000460511469787845,0.3781344,0.0034736849016740227,0.00010171200141170614,0.5103699548189008,-0.4200000000000001,-0.009000000000000008,0.857,0.0,-1.58199568,0.06219876,0.031154000000000348,0.07427599999999979,0.017252000000000045
5,1711926,CrAgF3,AgCrF3,0.8310679611650484,4.092152150557561,0.07296501777130411,4.8,5.254994393844806,0.35023208530225974,0.49023209999999995,0.007602271082942619,0.3969823,0.006360083276421249,0.00021272946070558782,0.5249628924807153,0.09000000000000004,1.734723475976807e-18,-0.192,0.0,-1.96081476,0.36216103,0.06571600000000011,0.014072000000000529,0.08355600000000063
6,1722752,CuAgCl3,AgCuCl3,0.8504854368932039,4.755020692588153,0.04650640712183639,4.8,4.290246288521167,0.22323075418481467,0.3130033999999998,0.006184502086706491,0.31220879999999995,0.006000468376581998,0.00021015422194755332,0.39202747913559854,-0.017,0.04099999999999996,-0.018999999999999975,0.0,-0.49810942,0.19207636,0.11279699999999959,1.7211700000000003,0.11676600000000015
7,1706442,CuAgF3,AgCuF3,0.8563106796116504,4.018034489317651,0.07707775242700482,4.8,5.846852347258363,0.3699732116496231,0.4450003,0.0036860519313849567,0.3760224,0.0037123083356095767,6.651009243330636e-05,0.5255678521775353,-0.001,0.003999999999999997,-0.0030000000000000304,0.0,-1.51052435,-0.00759835,0.056760000000000144,1.732789,0.0770519999999999
8,1711927,DyAgF3,AgDyF3,0.7708737864077669,4.447503357769128,0.05683570163998574,4.8,6.179174420175537,0.27281136787193155,0.5206669,0.030586873611787455,0.4752066,0.03394569886941251,0.00024566599121745013,0.6424728329953956,-3.469446951953614e-18,-0.012000000000000002,-0.001,0.0,-3.02620364,0.51485942,0.03641300000000003,0.05976900000000018,0.0855640000000002
9,1722753,FeAgCl3,AgFeCl3,0.8563106796116505,4.845478495721758,0.043950114951921096,4.8,3.942021518346678,0.21096055176922127,0.4323631,0.0006721491227490746,0.3083692,0.005995057568702808,0.00024811758819158535,0.38160990089954905,-0.005,0.006999999999999998,0.0029999999999999333,0.0,-0.57017168,0.26612131,0.03655300000000006,1.8794769999999998,0.04271400000000014
