correct_formula,lat_bvm,lat_opt,hf_bvm,hf_opt,bvm_oqmd_lat_err
RbNiI3,5.613,5.516369707,-0.651361244,-0.658547948,1.751700813
RbPdBr3,5.213,5.276471801,-1.10177523,-1.106169216,-1.202921259
CsCaF3,4.497,4.575222921,-3.684187406,-3.691952194,-1.709707316
NaCuF3,4.001,3.995509128,-2.238441482,-2.23849828,0.137426091
NaCuCl3,4.813,4.797190523,-1.177936858,-1.178240852,0.329556996
AgMgBr3,5.373,5.250229977,-0.866924018,-0.878869874,2.338374196
CsBaCl3,6.193,6.05368755,-2.46838522,-2.47878874,2.301282464
AuSrBr3,6.173,5.91476096,-0.816981122,-0.84886666,4.366009747
RbMgCl3,4.973,5.059286431,-2.11628171,-2.123363766,-1.705505948
HgNiI3,5.613,5.371741362,0.112060536,0.06694645,4.491255661
TlCoCl3,4.879,4.891697654,-0.834659314,-0.834721276,-0.259575609
AuPtBr3,5.213,5.129679259,0.14087908,0.131611874,1.624287539
TlMgF3,3.969,4.14026016,-2.96528327,-3.01974609,-4.136458903
TlPbF3,4.873,4.846941722,-2.229871522,-2.230602534,0.537623093
K_NiCl3,4.853,4.772476739,-1.262155302,-1.271490992,1.687242608
CsSnI3,6.317,6.280163588,-1.051165864,-1.05188433,0.586551791
NaHgI3,6.053,6.011342157,-0.543649916,-0.54468513,0.692987388
NaPdBr3,5.213,5.202905332,-0.934108314,-0.93422135,0.194019828
K_NiF3,4.005,4.07713327,-2.336129884,-2.34551344,-1.769215408
TlSnBr3,5.813,5.832853201,-0.925007356,-0.925250032,-0.340368604
LiZnCl3,4.833,4.890885412,-1.29009381,-1.293698706,-1.183536459
AuCoCl3,4.879,4.69891411,-0.100161596,-0.12917871,3.832500143
HgSnBr3,5.813,5.631478914,-0.55814532,-0.578797826,3.223328876
InCaCl3,5.553,5.388874687,-1.897030234,-1.915552346,3.045632391
CsHgBr3,5.573,5.684224008,-1.13878584,-1.14850998,-1.956714018
K_CaI3,6.253,6.175028871,-1.58681825,-1.5898541,1.262684445
AgFeF3,4.113,4.088340565,-1.695940842,-1.697071276,0.603164893
NaHgCl3,5.373,5.311206863,-1.086544914,-1.08981038,1.163448131
RbZnBr3,5.113,5.324815653,-1.265672116,-1.309433042,-3.977896453
NaPdF3,4.293,4.251520451,-1.952953808,-1.955781184,0.97564035
TlZnF3,4.053,4.201985703,-2.225518852,-2.268585712,-3.54560233
CsPdCl3,4.913,5.057795722,-1.298527086,-1.325537322,-2.862822659
K_SrCl3,5.833,5.685039565,-2.388043556,-2.401078396,2.602628061
CsPtCl3,4.913,5.056757368,-1.152678084,-1.18326345,-2.842876522
AgMgCl3,4.973,4.916553859,-1.244055782,-1.247165106,1.148083447
InSnI3,6.317,6.19694247,-0.44496641,-0.452496276,1.937367187
NaPdI3,5.533,5.587734873,-0.626173874,-0.629135818,-0.979553867
K_BeF3,3.575,3.739343821,-2.969447388,-3.030558258,-4.394990909
CuZnF3,4.053,4.0233483,-1.697131736,-1.69852637,0.73699063
TlSrBr3,6.173,5.971021497,-1.673904368,-1.694830016,3.382645718
RbMnF3,4.393,4.293880947,-2.772861296,-2.786512982,2.308379161
AuHgI3,6.053,5.882660693,0.443018318,0.425745878,2.895616727
AgSnI3,6.317,6.102886844,-0.023888456,-0.04547113,3.508391381
AuSrF3,4.851,4.706605878,-2.273772018,-2.29470007,3.067903405
K_MnF3,4.393,4.244555401,-2.759623864,-2.789088968,3.497294415
CsSnF3,4.663,4.803124033,-2.65751979,-2.681653938,-2.917351958
K_CaF3,4.497,4.468793375,-3.65826165,-3.6591768,0.631191076
RbPtBr3,5.213,5.279930323,-0.97311157,-0.978797508,-1.267636482
TlNiBr3,5.213,5.068451289,-0.604599056,-0.625161926,2.851930555
K_MgCl3,4.973,5.018570719,-2.098044318,-2.099945892,-0.908041782
RbPbF3,4.873,4.86060007,-2.681058868,-2.68122267,0.255111094
RbPbBr3,6.0749,5.97928464,-1.407284918,-1.412694162,1.599110358
K_FeCl3,4.933,4.943836255,-1.370716422,-1.370844036,-0.219187175
BaLiBr3,5.3659,5.216489896,-2.03802737,-2.054054964,2.864188506
HgPtCl3,4.913,4.916078351,-0.32661215,-0.326627214,-0.062618022
K_BaBr3,6.573,6.323384419,-2.036978128,-2.064333724,3.9474997
CsPbBr3,6.0749,6.003332739,-1.474883048,-1.478060374,1.192125509
InPbI3,6.313,6.322512278,-0.485790624,-0.485837998,-0.150450922
K_CrCl3,4.993,4.973609665,-1.580729946,-1.581110998,0.389864431
RbCoF3,4.093,4.16378157,-2.339835798,-2.348531072,-1.699934754
LiNiF3,4.005,3.9670759,-2.140855074,-2.143334838,0.955971122
AuCdF3,4.621,4.407898824,-1.32021366,-1.379147428,4.834529659
K_CrI3,5.773,5.713066759,-0.811534906,-0.814090362,1.049055499
AuCuI3,5.133,5.401873891,0.443935988,0.366344834,-4.977418881
K_SnI3,6.317,6.240511766,-0.932198534,-0.935309982,1.225672459
LiCrI3,5.773,5.647859675,-0.492783756,-0.503792646,2.215712362
PbLiF3,4.0459,3.921653994,-2.73661504,-2.76032419,3.168204186
TlFeBr3,5.233,5.240381455,-0.674811864,-0.67485503,-0.140857208
AuZnF3,4.053,4.081294707,-1.54522247,-1.546821714,-0.693277723
AgPdBr3,5.213,5.149400689,-0.24641951,-0.251050288,1.235081805
HgZnCl3,4.833,4.903888415,-0.699160238,-0.704799908,-1.445555221
RbZnF3,4.053,4.191819711,-2.680027524,-2.714748798,-3.311681336
AuNiCl3,4.853,4.650746682,-0.12614674,-0.178403202,4.348835398
LiFeBr3,5.233,5.18182391,-0.752104116,-0.754460556,0.987607663
HgCrF3,4.153,4.135911075,-1.923371508,-1.92395466,0.413184053
CsMgBr3,5.373,5.446127086,-1.799687564,-1.80393524,-1.342735578
K_NiBr3,5.213,5.07376809,-0.983833612,-1.00271818,2.744152029
RbHgBr3,5.573,5.648105535,-1.091079144,-1.095521064,-1.329747373
NaNiI3,5.613,5.432304713,-0.466969256,-0.492411272,3.326309855
AgNiI3,5.613,5.354323239,0.206419462,0.151964244,4.831175659
LiNiI3,5.613,5.402699701,-0.314606126,-0.348797204,3.892503945
TlHgI3,6.053,5.99765685,-0.347316064,-0.349186046,0.922746189
PtCuCl3,4.5459,4.691697173,0.250462604,0.21826319,-3.107557194
HgSnF3,4.663,4.50042767,-1.839068914,-1.868960336,3.612375132
TlSrCl3,5.833,5.675670893,-1.988301304,-2.003321536,2.771991364
CsSrBr3,6.173,6.028757229,-2.193812846,-2.204563094,2.39257886
AuHgCl3,5.373,5.234216024,-0.012848302,-0.028483748,2.651475892
HgCrI3,5.773,5.579038899,-0.100239582,-0.125946844,3.476604206
AgCuF3,4.001,4.017452398,-1.479440778,-1.479941374,-0.40952316
InZnCl3,4.833,4.963974811,-1.06508182,-1.084580838,-2.638506761
RbNiCl3,4.853,4.834876587,-1.270826486,-1.271144608,0.374847479
AuFeF3,4.113,4.08789977,-1.406014676,-1.407262616,0.614012853
RbCrCl3,4.993,5.012183747,-1.601557336,-1.60193632,-0.382742293
AgFeBr3,5.233,5.14498909,-0.209336188,-0.216757452,1.710614123
AuZnCl3,4.833,4.854839214,-0.420643804,-0.421228696,-0.449844228
TlPdBr3,5.213,5.236120769,-0.699261902,-0.69986002,-0.441562944
K_BaI3,7.073,6.766231917,-1.589445144,-1.623474176,4.533809759
CsCrI3,5.773,5.782449233,-0.896749144,-0.896799092,-0.163412295
InPbCl3,5.873,5.682259975,-1.081033356,-1.10423672,3.356763433
LiFeCl3,4.933,4.866091459,-1.08114612,-1.085708138,1.37499555
RbPdCl3,4.913,4.998068966,-1.304316282,-1.31338058,-1.702036658
NaZnI3,5.533,5.7132841,-0.659867614,-0.684690454,-3.155524858
NaMgF3,3.969,3.941591379,-3.44813897,-3.449276306,0.695369417
AuPbBr3,6.0749,5.799581143,-0.112123356,-0.14884095,4.747219673
AuPdBr3,5.213,5.118310454,0.029939568,0.019722772,1.850015681
RbCoCl3,4.879,4.927686739,-1.247158038,-1.249134046,-0.988024231
NaNiF3,4.005,3.997458208,-2.271434446,-2.27156329,0.188664687
TlFeI3,5.709,5.633076611,-0.248513426,-0.252364694,1.34781389
NaCdF3,4.621,4.425405975,-2.425293232,-2.47132442,4.419798457
TlZnI3,5.533,5.700787687,-0.471022246,-0.493352424,-2.943236904
RbBaF3,5.189,5.11943467,-3.464911238,-3.469173734,1.35884789
TlMnF3,4.393,4.29696995,-2.333828526,-2.347312212,2.23483178
CsPbF3,4.873,4.899575106,-2.724688788,-2.725486428,-0.542396135
TlSrI3,6.573,6.416508528,-1.220644752,-1.231492552,2.438888241
TlHgCl3,5.373,5.336994448,-0.858890292,-0.86003552,0.674640987
K_PdBr3,5.213,5.245953918,-1.077588786,-1.07879973,-0.628177802
CsCrBr3,5.333,5.368188215,-1.319122062,-1.32020882,-0.65549518
AuBaI3,7.073,6.74188716,-0.380957634,-0.416270288,4.911278284
AuMgI3,5.733,5.693636938,-0.099567064,-0.100601524,0.69135181
RbHgI3,6.053,6.061029235,-0.76549794,-0.765534712,-0.132473128
RbHgCl3,5.373,5.364593854,-1.299232858,-1.29928792,0.156696783
K_NiI3,5.613,5.483469996,-0.618601528,-0.63153564,2.36219044
TlBaI3,7.073,6.741532079,-1.188622354,-1.22860585,4.916804031
RbPtCl3,4.913,5.006162033,-1.156988982,-1.169501674,-1.860947216
BaLiI3,5.7659,5.6733111,-1.522341568,-1.527855826,1.632008158
