correct_formula,lat_bvm,lat_opt,hf_bvm,hf_opt,bvm_oqmd_lat_err
CsCuI3,5.133,5.665393824,-0.423686126,-0.753358266,-9.397295943
SrCuCl3,4.5459,4.878998712,-1.447262442,-1.61564428,-6.827194096
AgCuI3,5.133,5.468767699,0.254051104,0.133927722,-6.13973234
CaLiBr3,5.3659,5.059732962,-1.624652702,-1.688827102,6.051051316
SrCuF3,4.5459,4.204766741,-2.4797476,-2.623702886,8.113012683
CuMnF3,4.393,4.092087668,-1.64951523,-1.767628184,7.353516259
TlTiCl3,5.433,5.037386112,-1.275199772,-1.39872068,7.853554983
K_CuI3,5.133,5.598163806,-0.450583058,-0.682256892,-8.309221061
SrLiCl3,5.1459,4.804924624,-2.183188768,-2.270040508,7.096373048
SnCuCl3,4.5459,4.819654847,-0.586269764,-0.69941686,-5.679967875
BaHgCl3,5.8859,5.518339783,-1.344345328,-1.431103422,6.660702883
PtLiF3,4.0459,3.741433573,-1.250745706,-1.384593778,8.13769431
BaCuCl3,4.5459,4.952395962,-1.510527076,-1.77037927,-8.208066663
PbHgF3,4.9459,4.642843257,-1.351887808,-1.451598826,6.527395525
AuSnCl3,5.6148,5.337102309,-0.341411586,-0.388393122,5.203154726
PbAgCl3,5.5059,5.13053406,-0.569303482,-0.67905422,7.316313187
SnLiCl3,5.1459,4.749415769,-1.19046547,-1.309151292,8.34806322
AuMnF3,4.393,4.122297055,-1.56558326,-1.670809652,6.566798593
RbTiBr3,5.793,5.370054199,-1.361646806,-1.478113428,7.876006188
HgSnCl3,5.6148,5.345236552,-0.750177862,-0.797376508,5.04305928
